n	case	release	action	identity	state	expected	observed	reason	verdict	command	transcript
050	E	kl/late	truth	admin	E-all-g2	fail	fail	-	match	admin kv_truth kl/late 	transcripts/050-E-truth.txt
051	E	g2	releases	admin	E-all-g2	ok	ok	-	match	releases 	transcripts/051-E-releases.txt
052	E	R1	apply	executor	E-all-g2	ok	ok	-	match	release apply R1 	transcripts/052-E-apply.txt
053	E	R1	regen	compiler	E-all-g2	ok	ok	-	match	release regen R1 	transcripts/053-E-regen.txt
054	E	R1	check	operator	E-all-g2	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R1 	transcripts/054-E-check.txt
055	E	R2	apply	executor	E-all-g2	ok	ok	-	match	release apply R2 	transcripts/055-E-apply.txt
056	E	R2	regen	compiler	E-all-g2	ok	ok	-	match	release regen R2 	transcripts/056-E-regen.txt
057	E	R2	check	operator	E-all-g2	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R2 	transcripts/057-E-check.txt
058	E	R3	check	operator	E-all-g2	absent	absent	the restored database has no record of release R3	match	release check R3 	transcripts/058-E-check.txt
059	G	g1	restore	operator	E-all-g2	ok	ok	-	match	inject db-restore g1 	transcripts/059-G-restore.txt
060	G	R1	apply	executor	G-db-g1	fail	fail	-	match	release apply R1 	transcripts/060-G-apply.txt
061	G	R1	regen	compiler	G-db-g1	ok	ok	-	match	release regen R1 	transcripts/061-G-regen.txt
062	G	R1	check	operator	G-db-g1	regenerable	regenerable	the stored artifact does not apply; its source regenerates it, as a new release needing its own approval	match	release check R1 	transcripts/062-G-check.txt
063	G	R2	check	operator	G-db-g1	absent	absent	the restored database has no record of release R2	match	release check R2 	transcripts/063-G-check.txt
064	G	kl-art	floor	admin	G-db-g1	ok	ok	-	match	admin bao write transit/keys/kl-art/config min_decryption_version=1 	transcripts/064-G-floor.txt
065	G	R1	apply	executor	G-db-g1	ok	ok	-	match	release apply R1 	transcripts/065-G-apply.txt
066	G	kl-art	floor	admin	G-db-g1	ok	ok	-	match	admin bao write transit/keys/kl-art/config min_decryption_version=2 	transcripts/066-G-floor.txt
067	G	R1	apply	executor	G-db-g1	fail	fail	-	match	release apply R1 	transcripts/067-G-apply.txt
068	H	g2	restore	operator	G-db-g1	ok	ok	-	match	inject db-restore g2 	transcripts/068-H-restore.txt
069	H	g1	restore	operator	G-db-g1	ok	ok	-	match	inject bao-restore g1 	transcripts/069-H-restore.txt
070	H	g1	restore	operator	G-db-g1	ok	ok	-	match	inject store-restore g1 	transcripts/070-H-restore.txt
071	H	kl-art	truth	admin	H-bao-g1	ok	ok	-	match	admin key_truth kl-art 	transcripts/071-H-truth.txt
072	H	R1	apply	executor	H-bao-g1	fail	fail	-	match	release apply R1 	transcripts/072-H-apply.txt
073	H	R1	regen	compiler	H-bao-g1	ok	ok	-	match	release regen R1 	transcripts/073-H-regen.txt
074	H	R1	check	operator	H-bao-g1	regenerable	regenerable	the stored artifact does not apply; its source regenerates it, as a new release needing its own approval	match	release check R1 	transcripts/074-H-check.txt
075	H	R2	apply	executor	H-bao-g1	fail	fail	-	match	release apply R2 	transcripts/075-H-apply.txt
076	H	R2	regen	compiler	H-bao-g1	fail	fail	-	match	release regen R2 	transcripts/076-H-regen.txt
077	H	R2	check	operator	H-bao-g1	blocked	blocked	neither the stored artifact nor its source is usable in this combination	match	release check R2 	transcripts/077-H-check.txt
078	I	g1	restore	operator	H-bao-g1	ok	ok	-	match	inject db-restore g1 	transcripts/078-I-restore.txt
079	I	g2	restore	operator	H-bao-g1	ok	ok	-	match	inject store-restore g2 	transcripts/079-I-restore.txt
080	I	R1	apply	executor	I-store-g2	denied	denied	-	match	release apply R1 	transcripts/080-I-apply.txt
081	I	R1	regen	compiler	I-store-g2	ok	ok	-	match	release regen R1 	transcripts/081-I-regen.txt
082	I	R1	check	operator	I-store-g2	regenerable	regenerable	the stored artifact does not apply; its source regenerates it, as a new release needing its own approval	match	release check R1 	transcripts/082-I-check.txt
083	I	executor	reissue	admin	I-store-g2	ok	ok	-	match	admin issue executor kl-executor 	transcripts/083-I-reissue.txt
084	I	R1	apply	executor	I-store-g2	ok	ok	-	match	release apply R1 	transcripts/084-I-apply.txt
085	I	R1	regen	compiler	I-store-g2	ok	ok	-	match	release regen R1 	transcripts/085-I-regen.txt
086	I	R1	check	operator	I-store-g2	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R1 	transcripts/086-I-check.txt
087	J	kl-creds	remove	operator	I-store-g2	ok	ok	-	match	rm -rf -- <repo>/fixtures/.state/data/kl-creds 	transcripts/087-J-remove.txt
088	J	R1	apply	executor	J-creds-lost	fail	fail	-	match	release apply R1 	transcripts/088-J-apply.txt
089	J	R1	regen	compiler	J-creds-lost	fail	fail	-	match	release regen R1 	transcripts/089-J-regen.txt
090	J	R1	check	operator	J-creds-lost	blocked	blocked	neither the stored artifact nor its source is usable in this combination	match	release check R1 	transcripts/090-J-check.txt
091	J	g1	restore	operator	J-creds-lost	ok	ok	-	match	inject store-restore g1 	transcripts/091-J-restore.txt
092	J	R1	apply	executor	J-store-g1	ok	ok	-	match	release apply R1 	transcripts/092-J-apply.txt
093	J	R1	regen	compiler	J-store-g1	ok	ok	-	match	release regen R1 	transcripts/093-J-regen.txt
094	J	R1	check	operator	J-store-g1	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R1 	transcripts/094-J-check.txt
095	K	openbao	seal	admin	J-store-g1	ok	ok	-	match	admin bao operator seal 	transcripts/095-K-seal.txt
096	K	R1	check	operator	K-sealed	blocked	blocked	neither the stored artifact nor its source is usable in this combination	match	release check R1 	transcripts/096-K-check.txt
097	K	openbao	unseal	operator	K-sealed	ok	ok	-	match	bao_unseal 	transcripts/097-K-unseal.txt
098	K	R1	check	operator	K-unsealed	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R1 	transcripts/098-K-check.txt
