base	case	rep	artifact	secret	class	form	count
fixture	bool	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	bool	none	support	base:token3	base	exact	1
fixture	bool	none	support	wipe@1	ref	keyed	2
fixture	bool	value	diff	wipe@1	ref	keyed	1
fixture	bool	value	support	wipe@1	ref	keyed	2
fixture	bool	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	bool	resolution-path	support	base:key4	base	exact	1
fixture	bool	resolution-path	support	base:key5	base	exact	1
fixture	bool	resolution-path	support	base:key6	base	exact	1
fixture	bool	resolution-path	support	base:key7	base	exact	1
fixture	bool	resolution-path	support	base:key8	base	exact	1
fixture	bool	resolution-path	support	base:secret0	base	exact	1
fixture	bool	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	bool	resolution-path	support	base:token3	base	exact	1
fixture	bool	schema	diff	wipe@1	ref	keyed	1
fixture	bool	schema	support	wipe@1	ref	keyed	2
fixture	bool	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	bool	composed-path	support	base:key4	base	exact	1
fixture	bool	composed-path	support	base:key5	base	exact	1
fixture	bool	composed-path	support	base:key6	base	exact	1
fixture	bool	composed-path	support	base:key7	base	exact	1
fixture	bool	composed-path	support	base:key8	base	exact	1
fixture	bool	composed-path	support	base:secret0	base	exact	1
fixture	bool	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	bool	composed-path	support	base:token3	base	exact	1
fixture	bytes	none	diff	base:key8	base	exact	1
fixture	bytes	none	diff	extra-ca@1	ref	placed	1
fixture	bytes	none	support	base:bootstraptoken1	base	exact	1
fixture	bytes	none	support	base:key4	base	exact	1
fixture	bytes	none	support	base:key5	base	exact	1
fixture	bytes	none	support	base:key6	base	exact	1
fixture	bytes	none	support	base:key7	base	exact	1
fixture	bytes	none	support	base:key8	base	exact	1
fixture	bytes	none	support	base:secret0	base	exact	1
fixture	bytes	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	bytes	none	support	base:token3	base	exact	1
fixture	bytes	none	support	extra-ca@1	ref	placed	2
fixture	bytes	value	diff	extra-ca@1	ref	placed	1
fixture	bytes	value	support	extra-ca@1	ref	placed	2
fixture	bytes	resolution-path	diff	base:key8	base	exact	1
fixture	bytes	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	bytes	resolution-path	support	base:key4	base	exact	1
fixture	bytes	resolution-path	support	base:key5	base	exact	1
fixture	bytes	resolution-path	support	base:key6	base	exact	1
fixture	bytes	resolution-path	support	base:key7	base	exact	1
fixture	bytes	resolution-path	support	base:key8	base	exact	1
fixture	bytes	resolution-path	support	base:secret0	base	exact	1
fixture	bytes	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	bytes	resolution-path	support	base:token3	base	exact	1
fixture	bytes	schema	diff	extra-ca@1	ref	placed	1
fixture	bytes	schema	support	extra-ca@1	ref	placed	2
fixture	bytes	composed-path	diff	base:key8	base	exact	1
fixture	bytes	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	bytes	composed-path	support	base:key4	base	exact	1
fixture	bytes	composed-path	support	base:key5	base	exact	1
fixture	bytes	composed-path	support	base:key6	base	exact	1
fixture	bytes	composed-path	support	base:key7	base	exact	1
fixture	bytes	composed-path	support	base:key8	base	exact	1
fixture	bytes	composed-path	support	base:secret0	base	exact	1
fixture	bytes	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	bytes	composed-path	support	base:token3	base	exact	1
fixture	collision	none	diff	reg-pass@1	ref	exact	1
fixture	collision	none	support	base:bootstraptoken1	base	exact	1
fixture	collision	none	support	base:key4	base	exact	1
fixture	collision	none	support	base:key5	base	exact	1
fixture	collision	none	support	base:key6	base	exact	1
fixture	collision	none	support	base:key7	base	exact	1
fixture	collision	none	support	base:key8	base	exact	1
fixture	collision	none	support	base:secret0	base	exact	1
fixture	collision	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	collision	none	support	base:token3	base	exact	1
fixture	collision	none	support	reg-pass@1	ref	exact	2
fixture	collision	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	collision	resolution-path	support	base:key4	base	exact	1
fixture	collision	resolution-path	support	base:key5	base	exact	1
fixture	collision	resolution-path	support	base:key6	base	exact	1
fixture	collision	resolution-path	support	base:key7	base	exact	1
fixture	collision	resolution-path	support	base:key8	base	exact	1
fixture	collision	resolution-path	support	base:secret0	base	exact	1
fixture	collision	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	collision	resolution-path	support	base:token3	base	exact	1
fixture	collision	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	collision	composed-path	support	base:key4	base	exact	1
fixture	collision	composed-path	support	base:key5	base	exact	1
fixture	collision	composed-path	support	base:key6	base	exact	1
fixture	collision	composed-path	support	base:key7	base	exact	1
fixture	collision	composed-path	support	base:key8	base	exact	1
fixture	collision	composed-path	support	base:secret0	base	exact	1
fixture	collision	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	collision	composed-path	support	base:token3	base	exact	1
fixture	delete	none	support	base:bootstraptoken1	base	exact	1
fixture	delete	none	support	base:key4	base	exact	1
fixture	delete	none	support	base:key5	base	exact	1
fixture	delete	none	support	base:key6	base	exact	1
fixture	delete	none	support	base:key7	base	exact	1
fixture	delete	none	support	base:key8	base	exact	1
fixture	delete	none	support	base:secret0	base	exact	1
fixture	delete	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	delete	none	support	base:token3	base	exact	1
fixture	delete	none	support	reg-pass@1	ref	exact	1
fixture	delete	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	delete	resolution-path	support	base:key4	base	exact	1
fixture	delete	resolution-path	support	base:key5	base	exact	1
fixture	delete	resolution-path	support	base:key6	base	exact	1
fixture	delete	resolution-path	support	base:key7	base	exact	1
fixture	delete	resolution-path	support	base:key8	base	exact	1
fixture	delete	resolution-path	support	base:secret0	base	exact	1
fixture	delete	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	delete	resolution-path	support	base:token3	base	exact	1
fixture	delete	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	delete	composed-path	support	base:key4	base	exact	1
fixture	delete	composed-path	support	base:key5	base	exact	1
fixture	delete	composed-path	support	base:key6	base	exact	1
fixture	delete	composed-path	support	base:key7	base	exact	1
fixture	delete	composed-path	support	base:key8	base	exact	1
fixture	delete	composed-path	support	base:secret0	base	exact	1
fixture	delete	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	delete	composed-path	support	base:token3	base	exact	1
fixture	document	none	diff	roots@1	ref	exact	1
fixture	document	none	support	base:bootstraptoken1	base	exact	1
fixture	document	none	support	base:key4	base	exact	1
fixture	document	none	support	base:key5	base	exact	1
fixture	document	none	support	base:key6	base	exact	1
fixture	document	none	support	base:key7	base	exact	1
fixture	document	none	support	base:key8	base	exact	1
fixture	document	none	support	base:secret0	base	exact	1
fixture	document	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	document	none	support	base:token3	base	exact	1
fixture	document	none	support	roots@1	ref	exact	2
fixture	document	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	document	resolution-path	support	base:key4	base	exact	1
fixture	document	resolution-path	support	base:key5	base	exact	1
fixture	document	resolution-path	support	base:key6	base	exact	1
fixture	document	resolution-path	support	base:key7	base	exact	1
fixture	document	resolution-path	support	base:key8	base	exact	1
fixture	document	resolution-path	support	base:secret0	base	exact	1
fixture	document	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	document	resolution-path	support	base:token3	base	exact	1
fixture	document	schema	diff	roots@1	ref	exact	1
fixture	document	schema	support	roots@1	ref	exact	2
fixture	document	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	document	composed-path	support	base:key4	base	exact	1
fixture	document	composed-path	support	base:key5	base	exact	1
fixture	document	composed-path	support	base:key6	base	exact	1
fixture	document	composed-path	support	base:key7	base	exact	1
fixture	document	composed-path	support	base:key8	base	exact	1
fixture	document	composed-path	support	base:secret0	base	exact	1
fixture	document	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	document	composed-path	support	base:token3	base	exact	1
fixture	duplicate-literal	none	diff	base:secret0	base	exact	1
fixture	duplicate-literal	none	diff	reg-pass@1	ref	exact	2
fixture	duplicate-literal	none	support	base:bootstraptoken1	base	exact	1
fixture	duplicate-literal	none	support	base:key4	base	exact	1
fixture	duplicate-literal	none	support	base:key5	base	exact	1
fixture	duplicate-literal	none	support	base:key6	base	exact	1
fixture	duplicate-literal	none	support	base:key7	base	exact	1
fixture	duplicate-literal	none	support	base:key8	base	exact	1
fixture	duplicate-literal	none	support	base:secret0	base	exact	1
fixture	duplicate-literal	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	duplicate-literal	none	support	base:token3	base	exact	1
fixture	duplicate-literal	none	support	reg-pass@1	ref	exact	4
fixture	duplicate-literal	resolution-path	diff	base:secret0	base	exact	1
fixture	duplicate-literal	resolution-path	diff	reg-pass@1	ref	exact	1
fixture	duplicate-literal	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:key4	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:key5	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:key6	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:key7	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:key8	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:secret0	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	duplicate-literal	resolution-path	support	base:token3	base	exact	1
fixture	duplicate-literal	resolution-path	support	reg-pass@1	ref	exact	2
fixture	duplicate-literal	schema	diff	reg-pass@1	ref	exact	1
fixture	duplicate-literal	schema	support	reg-pass@1	ref	exact	2
fixture	duplicate-literal	composed-path	diff	base:secret0	base	exact	1
fixture	duplicate-literal	composed-path	diff	reg-pass@1	ref	exact	1
fixture	duplicate-literal	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	duplicate-literal	composed-path	support	base:key4	base	exact	1
fixture	duplicate-literal	composed-path	support	base:key5	base	exact	1
fixture	duplicate-literal	composed-path	support	base:key6	base	exact	1
fixture	duplicate-literal	composed-path	support	base:key7	base	exact	1
fixture	duplicate-literal	composed-path	support	base:key8	base	exact	1
fixture	duplicate-literal	composed-path	support	base:secret0	base	exact	1
fixture	duplicate-literal	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	duplicate-literal	composed-path	support	base:token3	base	exact	1
fixture	duplicate-literal	composed-path	support	reg-pass@1	ref	exact	2
fixture	duplicate-literal	path+schema	diff	reg-pass@1	ref	exact	1
fixture	duplicate-literal	path+schema	support	reg-pass@1	ref	exact	2
fixture	embedded-json	none	diff	app-token@1	ref	json-escaped	1
fixture	embedded-json	none	support	app-token@1	ref	json-escaped	2
fixture	embedded-json	none	support	base:bootstraptoken1	base	exact	1
fixture	embedded-json	none	support	base:key4	base	exact	1
fixture	embedded-json	none	support	base:key5	base	exact	1
fixture	embedded-json	none	support	base:key6	base	exact	1
fixture	embedded-json	none	support	base:key7	base	exact	1
fixture	embedded-json	none	support	base:key8	base	exact	1
fixture	embedded-json	none	support	base:secret0	base	exact	1
fixture	embedded-json	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	embedded-json	none	support	base:token3	base	exact	1
fixture	embedded-json	value	diff	app-token@1	ref	json-escaped	1
fixture	embedded-json	value	support	app-token@1	ref	json-escaped	2
fixture	embedded-json	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	embedded-json	resolution-path	support	base:key4	base	exact	1
fixture	embedded-json	resolution-path	support	base:key5	base	exact	1
fixture	embedded-json	resolution-path	support	base:key6	base	exact	1
fixture	embedded-json	resolution-path	support	base:key7	base	exact	1
fixture	embedded-json	resolution-path	support	base:key8	base	exact	1
fixture	embedded-json	resolution-path	support	base:secret0	base	exact	1
fixture	embedded-json	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	embedded-json	resolution-path	support	base:token3	base	exact	1
fixture	embedded-json	schema	diff	app-token@1	ref	json-escaped	1
fixture	embedded-json	schema	support	app-token@1	ref	json-escaped	2
fixture	embedded-json	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	embedded-json	composed-path	support	base:key4	base	exact	1
fixture	embedded-json	composed-path	support	base:key5	base	exact	1
fixture	embedded-json	composed-path	support	base:key6	base	exact	1
fixture	embedded-json	composed-path	support	base:key7	base	exact	1
fixture	embedded-json	composed-path	support	base:key8	base	exact	1
fixture	embedded-json	composed-path	support	base:secret0	base	exact	1
fixture	embedded-json	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	embedded-json	composed-path	support	base:token3	base	exact	1
fixture	embedded-yaml	none	diff	app-pass@1	ref	yaml-escaped	1
fixture	embedded-yaml	none	diff	base:key4	base	exact	1
fixture	embedded-yaml	none	support	app-pass@1	ref	yaml-escaped	2
fixture	embedded-yaml	none	support	base:bootstraptoken1	base	exact	1
fixture	embedded-yaml	none	support	base:key4	base	exact	1
fixture	embedded-yaml	none	support	base:key5	base	exact	1
fixture	embedded-yaml	none	support	base:key6	base	exact	1
fixture	embedded-yaml	none	support	base:key7	base	exact	1
fixture	embedded-yaml	none	support	base:key8	base	exact	1
fixture	embedded-yaml	none	support	base:secret0	base	exact	1
fixture	embedded-yaml	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	embedded-yaml	none	support	base:token3	base	exact	1
fixture	embedded-yaml	value	diff	app-pass@1	ref	yaml-escaped	1
fixture	embedded-yaml	value	support	app-pass@1	ref	yaml-escaped	2
fixture	embedded-yaml	resolution-path	diff	base:key4	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:key4	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:key5	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:key6	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:key7	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:key8	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:secret0	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	embedded-yaml	resolution-path	support	base:token3	base	exact	1
fixture	embedded-yaml	schema	diff	app-pass@1	ref	yaml-escaped	1
fixture	embedded-yaml	schema	support	app-pass@1	ref	yaml-escaped	2
fixture	embedded-yaml	composed-path	diff	base:key4	base	exact	1
fixture	embedded-yaml	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	embedded-yaml	composed-path	support	base:key4	base	exact	1
fixture	embedded-yaml	composed-path	support	base:key5	base	exact	1
fixture	embedded-yaml	composed-path	support	base:key6	base	exact	1
fixture	embedded-yaml	composed-path	support	base:key7	base	exact	1
fixture	embedded-yaml	composed-path	support	base:key8	base	exact	1
fixture	embedded-yaml	composed-path	support	base:secret0	base	exact	1
fixture	embedded-yaml	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	embedded-yaml	composed-path	support	base:token3	base	exact	1
fixture	int	none	diff	prism-port@1	ref	keyed	1
fixture	int	none	support	base:bootstraptoken1	base	exact	1
fixture	int	none	support	base:key4	base	exact	1
fixture	int	none	support	base:key5	base	exact	1
fixture	int	none	support	base:key6	base	exact	1
fixture	int	none	support	base:key7	base	exact	1
fixture	int	none	support	base:key8	base	exact	1
fixture	int	none	support	base:secret0	base	exact	1
fixture	int	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	int	none	support	base:token3	base	exact	1
fixture	int	none	support	prism-port@1	ref	keyed	2
fixture	int	value	diff	prism-port@1	ref	keyed	1
fixture	int	value	support	prism-port@1	ref	keyed	2
fixture	int	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	int	resolution-path	support	base:key4	base	exact	1
fixture	int	resolution-path	support	base:key5	base	exact	1
fixture	int	resolution-path	support	base:key6	base	exact	1
fixture	int	resolution-path	support	base:key7	base	exact	1
fixture	int	resolution-path	support	base:key8	base	exact	1
fixture	int	resolution-path	support	base:secret0	base	exact	1
fixture	int	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	int	resolution-path	support	base:token3	base	exact	1
fixture	int	schema	diff	prism-port@1	ref	keyed	1
fixture	int	schema	support	prism-port@1	ref	keyed	2
fixture	int	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	int	composed-path	support	base:key4	base	exact	1
fixture	int	composed-path	support	base:key5	base	exact	1
fixture	int	composed-path	support	base:key6	base	exact	1
fixture	int	composed-path	support	base:key7	base	exact	1
fixture	int	composed-path	support	base:key8	base	exact	1
fixture	int	composed-path	support	base:secret0	base	exact	1
fixture	int	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	int	composed-path	support	base:token3	base	exact	1
fixture	invalid-value	none	diff	dns-domain@1	ref	exact	1
fixture	invalid-value	none	errors	dns-domain@1	ref	exact	1
fixture	invalid-value	none	log	dns-domain@1	ref	exact	1
fixture	invalid-value	none	support	base:bootstraptoken1	base	exact	1
fixture	invalid-value	none	support	base:key4	base	exact	1
fixture	invalid-value	none	support	base:key5	base	exact	1
fixture	invalid-value	none	support	base:key6	base	exact	1
fixture	invalid-value	none	support	base:key7	base	exact	1
fixture	invalid-value	none	support	base:key8	base	exact	1
fixture	invalid-value	none	support	base:secret0	base	exact	1
fixture	invalid-value	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	invalid-value	none	support	base:token3	base	exact	1
fixture	invalid-value	none	support	dns-domain@1	ref	exact	4
fixture	invalid-value	resolution-path	errors	dns-domain@1	ref	exact	1
fixture	invalid-value	resolution-path	log	dns-domain@1	ref	exact	1
fixture	invalid-value	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	invalid-value	resolution-path	support	base:key4	base	exact	1
fixture	invalid-value	resolution-path	support	base:key5	base	exact	1
fixture	invalid-value	resolution-path	support	base:key6	base	exact	1
fixture	invalid-value	resolution-path	support	base:key7	base	exact	1
fixture	invalid-value	resolution-path	support	base:key8	base	exact	1
fixture	invalid-value	resolution-path	support	base:secret0	base	exact	1
fixture	invalid-value	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	invalid-value	resolution-path	support	base:token3	base	exact	1
fixture	invalid-value	resolution-path	support	dns-domain@1	ref	exact	2
fixture	invalid-value	schema	diff	dns-domain@1	ref	exact	1
fixture	invalid-value	schema	errors	dns-domain@1	ref	exact	1
fixture	invalid-value	schema	log	dns-domain@1	ref	exact	1
fixture	invalid-value	schema	support	dns-domain@1	ref	exact	4
fixture	invalid-value	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	invalid-value	composed-path	support	base:key4	base	exact	1
fixture	invalid-value	composed-path	support	base:key5	base	exact	1
fixture	invalid-value	composed-path	support	base:key6	base	exact	1
fixture	invalid-value	composed-path	support	base:key7	base	exact	1
fixture	invalid-value	composed-path	support	base:key8	base	exact	1
fixture	invalid-value	composed-path	support	base:secret0	base	exact	1
fixture	invalid-value	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	invalid-value	composed-path	support	base:token3	base	exact	1
fixture	list-append	none	diff	base:key4	base	exact	1
fixture	list-append	none	diff	manifest-url@1	ref	exact	1
fixture	list-append	none	support	base:bootstraptoken1	base	exact	1
fixture	list-append	none	support	base:key4	base	exact	1
fixture	list-append	none	support	base:key5	base	exact	1
fixture	list-append	none	support	base:key6	base	exact	1
fixture	list-append	none	support	base:key7	base	exact	1
fixture	list-append	none	support	base:key8	base	exact	1
fixture	list-append	none	support	base:secret0	base	exact	1
fixture	list-append	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	list-append	none	support	base:token3	base	exact	1
fixture	list-append	none	support	manifest-url@1	ref	exact	2
fixture	list-append	resolution-path	diff	base:key4	base	exact	1
fixture	list-append	resolution-path	diff	manifest-url@1	ref	exact	1
fixture	list-append	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	list-append	resolution-path	support	base:key4	base	exact	1
fixture	list-append	resolution-path	support	base:key5	base	exact	1
fixture	list-append	resolution-path	support	base:key6	base	exact	1
fixture	list-append	resolution-path	support	base:key7	base	exact	1
fixture	list-append	resolution-path	support	base:key8	base	exact	1
fixture	list-append	resolution-path	support	base:secret0	base	exact	1
fixture	list-append	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	list-append	resolution-path	support	base:token3	base	exact	1
fixture	list-append	resolution-path	support	manifest-url@1	ref	exact	1
fixture	list-append	schema	diff	manifest-url@1	ref	exact	1
fixture	list-append	schema	support	manifest-url@1	ref	exact	2
fixture	list-append	composed-path	diff	base:key4	base	exact	1
fixture	list-append	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	list-append	composed-path	support	base:key4	base	exact	1
fixture	list-append	composed-path	support	base:key5	base	exact	1
fixture	list-append	composed-path	support	base:key6	base	exact	1
fixture	list-append	composed-path	support	base:key7	base	exact	1
fixture	list-append	composed-path	support	base:key8	base	exact	1
fixture	list-append	composed-path	support	base:secret0	base	exact	1
fixture	list-append	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	list-append	composed-path	support	base:token3	base	exact	1
fixture	list-duplicate	none	diff	base:key4	base	exact	1
fixture	list-duplicate	none	diff	dup-pass@1	ref	exact	1
fixture	list-duplicate	none	support	base:bootstraptoken1	base	exact	1
fixture	list-duplicate	none	support	base:key4	base	exact	1
fixture	list-duplicate	none	support	base:key5	base	exact	1
fixture	list-duplicate	none	support	base:key6	base	exact	1
fixture	list-duplicate	none	support	base:key7	base	exact	1
fixture	list-duplicate	none	support	base:key8	base	exact	1
fixture	list-duplicate	none	support	base:secret0	base	exact	1
fixture	list-duplicate	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	list-duplicate	none	support	base:token3	base	exact	1
fixture	list-duplicate	none	support	dup-pass@1	ref	exact	2
fixture	list-duplicate	resolution-path	diff	base:key4	base	exact	1
fixture	list-duplicate	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	list-duplicate	resolution-path	support	base:key4	base	exact	1
fixture	list-duplicate	resolution-path	support	base:key5	base	exact	1
fixture	list-duplicate	resolution-path	support	base:key6	base	exact	1
fixture	list-duplicate	resolution-path	support	base:key7	base	exact	1
fixture	list-duplicate	resolution-path	support	base:key8	base	exact	1
fixture	list-duplicate	resolution-path	support	base:secret0	base	exact	1
fixture	list-duplicate	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	list-duplicate	resolution-path	support	base:token3	base	exact	1
fixture	list-duplicate	schema	diff	dup-pass@1	ref	exact	1
fixture	list-duplicate	schema	support	dup-pass@1	ref	exact	2
fixture	list-duplicate	composed-path	diff	base:key4	base	exact	1
fixture	list-duplicate	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	list-duplicate	composed-path	support	base:key4	base	exact	1
fixture	list-duplicate	composed-path	support	base:key5	base	exact	1
fixture	list-duplicate	composed-path	support	base:key6	base	exact	1
fixture	list-duplicate	composed-path	support	base:key7	base	exact	1
fixture	list-duplicate	composed-path	support	base:key8	base	exact	1
fixture	list-duplicate	composed-path	support	base:secret0	base	exact	1
fixture	list-duplicate	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	list-duplicate	composed-path	support	base:token3	base	exact	1
fixture	map	none	diff	reg-auth@1#password	ref	exact	1
fixture	map	none	diff	reg-auth@1#username	ref	exact	1
fixture	map	none	support	base:bootstraptoken1	base	exact	1
fixture	map	none	support	base:key4	base	exact	1
fixture	map	none	support	base:key5	base	exact	1
fixture	map	none	support	base:key6	base	exact	1
fixture	map	none	support	base:key7	base	exact	1
fixture	map	none	support	base:key8	base	exact	1
fixture	map	none	support	base:secret0	base	exact	1
fixture	map	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	map	none	support	base:token3	base	exact	1
fixture	map	none	support	reg-auth@1#password	ref	exact	2
fixture	map	none	support	reg-auth@1#username	ref	exact	2
fixture	map	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	map	resolution-path	support	base:key4	base	exact	1
fixture	map	resolution-path	support	base:key5	base	exact	1
fixture	map	resolution-path	support	base:key6	base	exact	1
fixture	map	resolution-path	support	base:key7	base	exact	1
fixture	map	resolution-path	support	base:key8	base	exact	1
fixture	map	resolution-path	support	base:secret0	base	exact	1
fixture	map	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	map	resolution-path	support	base:token3	base	exact	1
fixture	map	schema	diff	reg-auth@1#username	ref	exact	1
fixture	map	schema	support	reg-auth@1#username	ref	exact	2
fixture	map	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	map	composed-path	support	base:key4	base	exact	1
fixture	map	composed-path	support	base:key5	base	exact	1
fixture	map	composed-path	support	base:key6	base	exact	1
fixture	map	composed-path	support	base:key7	base	exact	1
fixture	map	composed-path	support	base:key8	base	exact	1
fixture	map	composed-path	support	base:secret0	base	exact	1
fixture	map	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	map	composed-path	support	base:token3	base	exact	1
fixture	map-partial	none	diff	reg-auth@1#username	ref	exact	1
fixture	map-partial	none	support	base:bootstraptoken1	base	exact	1
fixture	map-partial	none	support	base:key4	base	exact	1
fixture	map-partial	none	support	base:key5	base	exact	1
fixture	map-partial	none	support	base:key6	base	exact	1
fixture	map-partial	none	support	base:key7	base	exact	1
fixture	map-partial	none	support	base:key8	base	exact	1
fixture	map-partial	none	support	base:secret0	base	exact	1
fixture	map-partial	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	map-partial	none	support	base:token3	base	exact	1
fixture	map-partial	none	support	reg-auth@1#password	ref	exact	1
fixture	map-partial	none	support	reg-auth@1#username	ref	exact	2
fixture	map-partial	resolution-path	support	base:bootstraptoken1	base	exact	1
