base	case	item	expected	observed	match
fixture	collision	leak.value	clean	clean	yes
fixture	collision	leak.resolution-path	clean	clean	yes
fixture	collision	leak.schema	clean	clean	yes
fixture	collision	leak.composed-path	clean	clean	yes
fixture	collision	leak.path+schema	clean	clean	yes
fixture	collision	leak.path+schema+value	clean	clean	yes
fixture	collision	base-leak.none	leak	leak	yes
fixture	collision	base-leak.value	clean	clean	yes
fixture	collision	base-leak.resolution-path	leak	leak	yes
fixture	collision	base-leak.schema	clean	clean	yes
fixture	collision	base-leak.composed-path	leak	leak	yes
fixture	collision	base-leak.path+schema	clean	clean	yes
fixture	collision	base-leak.path+schema+value	clean	clean	yes
fixture	collision	fidelity	ok	ok	yes
fixture	delete	native	pass	pass	yes
fixture	delete	premise.tag	parity	parity	yes
fixture	delete	premise.marked	parity	parity	yes
fixture	delete	premise.binding	parity	parity	yes
fixture	delete	effective	-	-	yes
fixture	delete	overridden	reg-pass	reg-pass	yes
fixture	delete	unresolved	-	-	yes
fixture	delete	message.patch	none	none	yes
fixture	delete	message.validate	verbatim	verbatim	yes
fixture	delete	leak.none	leak	leak	yes
fixture	delete	leak.value	clean	clean	yes
fixture	delete	leak.resolution-path	clean	clean	yes
fixture	delete	leak.schema	clean	clean	yes
fixture	delete	leak.composed-path	clean	clean	yes
fixture	delete	leak.path+schema	clean	clean	yes
fixture	delete	leak.path+schema+value	clean	clean	yes
fixture	delete	base-leak.none	leak	leak	yes
fixture	delete	base-leak.value	clean	clean	yes
fixture	delete	base-leak.resolution-path	leak	leak	yes
fixture	delete	base-leak.schema	clean	clean	yes
fixture	delete	base-leak.composed-path	leak	leak	yes
fixture	delete	base-leak.path+schema	clean	clean	yes
fixture	delete	base-leak.path+schema+value	clean	clean	yes
fixture	delete	fidelity	ok	ok	yes
fixture	document	native	pass	pass	yes
fixture	document	premise.tag	parity	parity	yes
fixture	document	premise.marked	parity	parity	yes
fixture	document	premise.binding	parity	parity	yes
fixture	document	effective	roots	roots	yes
fixture	document	overridden	-	-	yes
fixture	document	unresolved	-	-	yes
fixture	document	message.patch	none	none	yes
fixture	document	message.validate	verbatim	verbatim	yes
fixture	document	leak.none	leak	leak	yes
fixture	document	leak.value	clean	clean	yes
fixture	document	leak.resolution-path	clean	clean	yes
fixture	document	leak.schema	leak	leak	yes
fixture	document	leak.composed-path	clean	clean	yes
fixture	document	leak.path+schema	clean	clean	yes
fixture	document	leak.path+schema+value	clean	clean	yes
fixture	document	base-leak.none	leak	leak	yes
fixture	document	base-leak.value	clean	clean	yes
fixture	document	base-leak.resolution-path	leak	leak	yes
fixture	document	base-leak.schema	clean	clean	yes
fixture	document	base-leak.composed-path	leak	leak	yes
fixture	document	base-leak.path+schema	clean	clean	yes
fixture	document	base-leak.path+schema+value	clean	clean	yes
fixture	document	fidelity	ok	ok	yes
fixture	duplicate-literal	native	pass	pass	yes
fixture	duplicate-literal	premise.tag	parity	parity	yes
fixture	duplicate-literal	premise.marked	parity	parity	yes
fixture	duplicate-literal	premise.binding	parity	parity	yes
fixture	duplicate-literal	effective	reg-pass	reg-pass	yes
fixture	duplicate-literal	overridden	-	-	yes
fixture	duplicate-literal	unresolved	-	-	yes
fixture	duplicate-literal	message.patch	none	none	yes
fixture	duplicate-literal	message.validate	verbatim	verbatim	yes
fixture	duplicate-literal	leak.none	leak	leak	yes
fixture	duplicate-literal	leak.value	clean	clean	yes
fixture	duplicate-literal	leak.resolution-path	leak	leak	yes
fixture	duplicate-literal	leak.schema	leak	leak	yes
fixture	duplicate-literal	leak.composed-path	leak	leak	yes
fixture	duplicate-literal	leak.path+schema	leak	leak	yes
fixture	duplicate-literal	leak.path+schema+value	clean	clean	yes
fixture	duplicate-literal	base-leak.none	leak	leak	yes
fixture	duplicate-literal	base-leak.value	clean	clean	yes
fixture	duplicate-literal	base-leak.resolution-path	leak	leak	yes
fixture	duplicate-literal	base-leak.schema	clean	clean	yes
fixture	duplicate-literal	base-leak.composed-path	leak	leak	yes
fixture	duplicate-literal	base-leak.path+schema	clean	clean	yes
fixture	duplicate-literal	base-leak.path+schema+value	clean	clean	yes
fixture	duplicate-literal	fidelity	ok	ok	yes
fixture	embedded-json	native	pass	pass	yes
fixture	embedded-json	premise.tag	parity	parity	yes
fixture	embedded-json	premise.marked	parity	parity	yes
fixture	embedded-json	premise.binding	parity	parity	yes
fixture	embedded-json	effective	app-token	app-token	yes
fixture	embedded-json	overridden	-	-	yes
fixture	embedded-json	unresolved	-	-	yes
fixture	embedded-json	message.patch	none	none	yes
fixture	embedded-json	message.validate	verbatim	verbatim	yes
fixture	embedded-json	leak.none	leak	leak	yes
fixture	embedded-json	leak.value	leak	leak	yes
fixture	embedded-json	leak.resolution-path	clean	clean	yes
fixture	embedded-json	leak.schema	leak	leak	yes
fixture	embedded-json	leak.composed-path	clean	clean	yes
fixture	embedded-json	leak.path+schema	clean	clean	yes
fixture	embedded-json	leak.path+schema+value	clean	clean	yes
fixture	embedded-json	base-leak.none	leak	leak	yes
fixture	embedded-json	base-leak.value	clean	clean	yes
fixture	embedded-json	base-leak.resolution-path	leak	leak	yes
fixture	embedded-json	base-leak.schema	clean	clean	yes
fixture	embedded-json	base-leak.composed-path	leak	leak	yes
fixture	embedded-json	base-leak.path+schema	clean	clean	yes
fixture	embedded-json	base-leak.path+schema+value	clean	clean	yes
fixture	embedded-json	fidelity	ok	ok	yes
fixture	embedded-yaml	native	pass	pass	yes
fixture	embedded-yaml	premise.tag	parity	parity	yes
fixture	embedded-yaml	premise.marked	parity	parity	yes
fixture	embedded-yaml	premise.binding	parity	parity	yes
fixture	embedded-yaml	effective	app-pass	app-pass	yes
fixture	embedded-yaml	overridden	-	-	yes
fixture	embedded-yaml	unresolved	-	-	yes
fixture	embedded-yaml	message.patch	none	none	yes
fixture	embedded-yaml	message.validate	verbatim	verbatim	yes
fixture	embedded-yaml	leak.none	leak	leak	yes
fixture	embedded-yaml	leak.value	leak	leak	yes
fixture	embedded-yaml	leak.resolution-path	clean	clean	yes
fixture	embedded-yaml	leak.schema	leak	leak	yes
fixture	embedded-yaml	leak.composed-path	clean	clean	yes
fixture	embedded-yaml	leak.path+schema	clean	clean	yes
fixture	embedded-yaml	leak.path+schema+value	clean	clean	yes
fixture	embedded-yaml	base-leak.none	leak	leak	yes
fixture	embedded-yaml	base-leak.value	clean	clean	yes
fixture	embedded-yaml	base-leak.resolution-path	leak	leak	yes
fixture	embedded-yaml	base-leak.schema	clean	clean	yes
fixture	embedded-yaml	base-leak.composed-path	leak	leak	yes
fixture	embedded-yaml	base-leak.path+schema	clean	clean	yes
fixture	embedded-yaml	base-leak.path+schema+value	clean	clean	yes
fixture	embedded-yaml	fidelity	ok	ok	yes
fixture	int	native	pass	pass	yes
fixture	int	premise.tag	parity	parity	yes
fixture	int	premise.marked	parity	parity	yes
fixture	int	premise.binding	parity	parity	yes
fixture	int	effective	prism-port	prism-port	yes
fixture	int	overridden	-	-	yes
fixture	int	unresolved	-	-	yes
fixture	int	message.patch	none	none	yes
fixture	int	message.validate	verbatim	verbatim	yes
fixture	int	leak.none	leak	leak	yes
fixture	int	leak.value	leak	leak	yes
fixture	int	leak.resolution-path	clean	clean	yes
fixture	int	leak.schema	leak	leak	yes
fixture	int	leak.composed-path	clean	clean	yes
fixture	int	leak.path+schema	clean	clean	yes
fixture	int	leak.path+schema+value	clean	clean	yes
fixture	int	base-leak.none	leak	leak	yes
fixture	int	base-leak.value	clean	clean	yes
fixture	int	base-leak.resolution-path	leak	leak	yes
fixture	int	base-leak.schema	clean	clean	yes
fixture	int	base-leak.composed-path	leak	leak	yes
fixture	int	base-leak.path+schema	clean	clean	yes
fixture	int	base-leak.path+schema+value	clean	clean	yes
fixture	int	fidelity	ok	ok	yes
fixture	invalid-value	native	invalid	invalid	yes
fixture	invalid-value	premise.tag	parity	parity	yes
fixture	invalid-value	premise.marked	parity	parity	yes
fixture	invalid-value	premise.binding	parity	parity	yes
fixture	invalid-value	effective	dns-domain	dns-domain	yes
fixture	invalid-value	overridden	-	-	yes
fixture	invalid-value	unresolved	-	-	yes
fixture	invalid-value	message.patch	none	none	yes
fixture	invalid-value	message.validate	redacted	redacted	yes
fixture	invalid-value	leak.none	leak	leak	yes
fixture	invalid-value	leak.value	clean	clean	yes
fixture	invalid-value	leak.resolution-path	leak	leak	yes
fixture	invalid-value	leak.schema	leak	leak	yes
fixture	invalid-value	leak.composed-path	clean	clean	yes
fixture	invalid-value	leak.path+schema	clean	clean	yes
fixture	invalid-value	leak.path+schema+value	clean	clean	yes
fixture	invalid-value	base-leak.none	leak	leak	yes
fixture	invalid-value	base-leak.value	clean	clean	yes
fixture	invalid-value	base-leak.resolution-path	leak	leak	yes
fixture	invalid-value	base-leak.schema	clean	clean	yes
fixture	invalid-value	base-leak.composed-path	leak	leak	yes
fixture	invalid-value	base-leak.path+schema	clean	clean	yes
fixture	invalid-value	base-leak.path+schema+value	clean	clean	yes
fixture	invalid-value	fidelity	ok	ok	yes
fixture	list-append	native	pass	pass	yes
fixture	list-append	premise.tag	parity	parity	yes
fixture	list-append	premise.marked	parity	parity	yes
fixture	list-append	premise.binding	refused	refused	yes
fixture	list-append	effective	manifest-url	manifest-url	yes
fixture	list-append	overridden	-	-	yes
fixture	list-append	unresolved	-	-	yes
fixture	list-append	message.patch	none	none	yes
fixture	list-append	message.validate	verbatim	verbatim	yes
fixture	list-append	leak.none	leak	leak	yes
fixture	list-append	leak.value	clean	clean	yes
fixture	list-append	leak.resolution-path	leak	leak	yes
fixture	list-append	leak.schema	leak	leak	yes
fixture	list-append	leak.composed-path	clean	clean	yes
fixture	list-append	leak.path+schema	clean	clean	yes
fixture	list-append	leak.path+schema+value	clean	clean	yes
fixture	list-append	base-leak.none	leak	leak	yes
fixture	list-append	base-leak.value	clean	clean	yes
fixture	list-append	base-leak.resolution-path	leak	leak	yes
fixture	list-append	base-leak.schema	clean	clean	yes
fixture	list-append	base-leak.composed-path	leak	leak	yes
fixture	list-append	base-leak.path+schema	clean	clean	yes
fixture	list-append	base-leak.path+schema+value	clean	clean	yes
fixture	list-append	fidelity	ok	ok	yes
fixture	list-duplicate	native	invalid	invalid	yes
fixture	list-duplicate	premise.tag	parity	parity	yes
fixture	list-duplicate	premise.marked	parity	parity	yes
fixture	list-duplicate	premise.binding	parity	parity	yes
fixture	list-duplicate	effective	dup-pass	dup-pass	yes
fixture	list-duplicate	overridden	-	-	yes
fixture	list-duplicate	unresolved	-	-	yes
fixture	list-duplicate	message.patch	none	none	yes
fixture	list-duplicate	message.validate	verbatim	verbatim	yes
fixture	list-duplicate	leak.none	leak	leak	yes
fixture	list-duplicate	leak.value	clean	clean	yes
fixture	list-duplicate	leak.resolution-path	clean	clean	yes
fixture	list-duplicate	leak.schema	leak	leak	yes
fixture	list-duplicate	leak.composed-path	clean	clean	yes
fixture	list-duplicate	leak.path+schema	clean	clean	yes
fixture	list-duplicate	leak.path+schema+value	clean	clean	yes
fixture	list-duplicate	base-leak.none	leak	leak	yes
fixture	list-duplicate	base-leak.value	clean	clean	yes
fixture	list-duplicate	base-leak.resolution-path	leak	leak	yes
fixture	list-duplicate	base-leak.schema	clean	clean	yes
fixture	list-duplicate	base-leak.composed-path	leak	leak	yes
fixture	list-duplicate	base-leak.path+schema	clean	clean	yes
fixture	list-duplicate	base-leak.path+schema+value	clean	clean	yes
fixture	list-duplicate	fidelity	ok	ok	yes
fixture	map	native	pass	pass	yes
fixture	map	premise.tag	parity	parity	yes
fixture	map	premise.marked	parity	parity	yes
fixture	map	premise.binding	parity	parity	yes
fixture	map	effective	reg-auth	reg-auth	yes
fixture	map	overridden	-	-	yes
fixture	map	unresolved	-	-	yes
fixture	map	message.patch	none	none	yes
fixture	map	message.validate	verbatim	verbatim	yes
fixture	map	leak.none	leak	leak	yes
fixture	map	leak.value	clean	clean	yes
fixture	map	leak.resolution-path	clean	clean	yes
fixture	map	leak.schema	leak	leak	yes
fixture	map	leak.composed-path	clean	clean	yes
fixture	map	leak.path+schema	clean	clean	yes
fixture	map	leak.path+schema+value	clean	clean	yes
fixture	map	base-leak.none	leak	leak	yes
fixture	map	base-leak.value	clean	clean	yes
fixture	map	base-leak.resolution-path	leak	leak	yes
fixture	map	base-leak.schema	clean	clean	yes
fixture	map	base-leak.composed-path	leak	leak	yes
fixture	map	base-leak.path+schema	clean	clean	yes
fixture	map	base-leak.path+schema+value	clean	clean	yes
fixture	map	fidelity	ok	ok	yes
fixture	map-partial	native	pass	pass	yes
fixture	map-partial	premise.tag	parity	parity	yes
fixture	map-partial	premise.marked	parity	parity	yes
fixture	map-partial	premise.binding	parity	parity	yes
fixture	map-partial	effective	reg-auth	reg-auth	yes
fixture	map-partial	overridden	reg-auth	reg-auth	yes
fixture	map-partial	unresolved	-	-	yes
fixture	map-partial	message.patch	none	none	yes
fixture	map-partial	message.validate	verbatim	verbatim	yes
fixture	map-partial	leak.none	leak	leak	yes
fixture	map-partial	leak.value	clean	clean	yes
fixture	map-partial	leak.resolution-path	clean	clean	yes
fixture	map-partial	leak.schema	leak	leak	yes
fixture	map-partial	leak.composed-path	clean	clean	yes
fixture	map-partial	leak.path+schema	clean	clean	yes
fixture	map-partial	leak.path+schema+value	clean	clean	yes
fixture	map-partial	base-leak.none	leak	leak	yes
fixture	map-partial	base-leak.value	clean	clean	yes
fixture	map-partial	base-leak.resolution-path	leak	leak	yes
fixture	map-partial	base-leak.schema	clean	clean	yes
fixture	map-partial	base-leak.composed-path	leak	leak	yes
fixture	map-partial	base-leak.path+schema	clean	clean	yes
fixture	map-partial	base-leak.path+schema+value	clean	clean	yes
fixture	map-partial	fidelity	ok	ok	yes
fixture	moved-r1	native	pass	pass	yes
fixture	moved-r1	premise.tag	parity	parity	yes
fixture	moved-r1	premise.marked	parity	parity	yes
fixture	moved-r1	premise.binding	parity	parity	yes
fixture	moved-r1	effective	reg-pass	reg-pass	yes
fixture	moved-r1	overridden	-	-	yes
fixture	moved-r1	unresolved	-	-	yes
fixture	moved-r1	message.patch	none	none	yes
fixture	moved-r1	message.validate	verbatim	verbatim	yes
fixture	moved-r1	leak.none	leak	leak	yes
fixture	moved-r1	leak.value	clean	clean	yes
fixture	moved-r1	leak.resolution-path	clean	clean	yes
fixture	moved-r1	leak.schema	clean	clean	yes
fixture	moved-r1	leak.composed-path	clean	clean	yes
fixture	moved-r1	leak.path+schema	clean	clean	yes
fixture	moved-r1	leak.path+schema+value	clean	clean	yes
fixture	moved-r1	base-leak.none	leak	leak	yes
fixture	moved-r1	base-leak.value	clean	clean	yes
fixture	moved-r1	base-leak.resolution-path	leak	leak	yes
fixture	moved-r1	base-leak.schema	clean	clean	yes
fixture	moved-r1	base-leak.composed-path	leak	leak	yes
fixture	moved-r1	base-leak.path+schema	clean	clean	yes
fixture	moved-r1	base-leak.path+schema+value	clean	clean	yes
fixture	moved-r1	fidelity	ok	ok	yes
fixture	moved-r2	native	pass	pass	yes
fixture	moved-r2	premise.tag	parity	parity	yes
fixture	moved-r2	premise.marked	parity	parity	yes
fixture	moved-r2	premise.binding	parity	parity	yes
fixture	moved-r2	effective	reg-pass	reg-pass	yes
fixture	moved-r2	overridden	-	-	yes
fixture	moved-r2	unresolved	-	-	yes
fixture	moved-r2	message.patch	none	none	yes
fixture	moved-r2	message.validate	verbatim	verbatim	yes
fixture	moved-r2	leak.none	leak	leak	yes
fixture	moved-r2	leak.value	clean	clean	yes
fixture	moved-r2	leak.resolution-path	clean	clean	yes
fixture	moved-r2	leak.schema	clean	clean	yes
fixture	moved-r2	leak.composed-path	clean	clean	yes
fixture	moved-r2	leak.path+schema	clean	clean	yes
fixture	moved-r2	leak.path+schema+value	clean	clean	yes
fixture	moved-r2	base-leak.none	leak	leak	yes
fixture	moved-r2	base-leak.value	clean	clean	yes
fixture	moved-r2	base-leak.resolution-path	leak	leak	yes
fixture	moved-r2	base-leak.schema	clean	clean	yes
fixture	moved-r2	base-leak.composed-path	leak	leak	yes
fixture	moved-r2	base-leak.path+schema	clean	clean	yes
fixture	moved-r2	base-leak.path+schema+value	clean	clean	yes
fixture	moved-r2	fidelity	ok	ok	yes
fixture	override-literal	native	pass	pass	yes
fixture	override-literal	premise.tag	parity	parity	yes
fixture	override-literal	premise.marked	parity	parity	yes
fixture	override-literal	premise.binding	parity	parity	yes
fixture	override-literal	effective	-	-	yes
fixture	override-literal	overridden	reg-pass	reg-pass	yes
fixture	override-literal	unresolved	-	-	yes
fixture	override-literal	message.patch	none	none	yes
fixture	override-literal	message.validate	verbatim	verbatim	yes
fixture	override-literal	leak.none	leak	leak	yes
fixture	override-literal	leak.value	clean	clean	yes
fixture	override-literal	leak.resolution-path	clean	clean	yes
fixture	override-literal	leak.schema	clean	clean	yes
fixture	override-literal	leak.composed-path	clean	clean	yes
fixture	override-literal	leak.path+schema	clean	clean	yes
fixture	override-literal	leak.path+schema+value	clean	clean	yes
fixture	override-literal	base-leak.none	leak	leak	yes
fixture	override-literal	base-leak.value	clean	clean	yes
fixture	override-literal	base-leak.resolution-path	leak	leak	yes
fixture	override-literal	base-leak.schema	clean	clean	yes
fixture	override-literal	base-leak.composed-path	leak	leak	yes
fixture	override-literal	base-leak.path+schema	clean	clean	yes
fixture	override-literal	base-leak.path+schema+value	clean	clean	yes
fixture	override-literal	fidelity	ok	ok	yes
fixture	override-ref	native	pass	pass	yes
fixture	override-ref	premise.tag	parity	parity	yes
fixture	override-ref	premise.marked	parity	parity	yes
fixture	override-ref	premise.binding	parity	parity	yes
fixture	override-ref	effective	reg-pass	reg-pass	yes
fixture	override-ref	overridden	-	-	yes
fixture	override-ref	unresolved	-	-	yes
fixture	override-ref	message.patch	none	none	yes
fixture	override-ref	message.validate	verbatim	verbatim	yes
fixture	override-ref	leak.none	leak	leak	yes
fixture	override-ref	leak.value	clean	clean	yes
fixture	override-ref	leak.resolution-path	clean	clean	yes
fixture	override-ref	leak.schema	clean	clean	yes
fixture	override-ref	leak.composed-path	clean	clean	yes
fixture	override-ref	leak.path+schema	clean	clean	yes
fixture	override-ref	leak.path+schema+value	clean	clean	yes
fixture	override-ref	base-leak.none	leak	leak	yes
fixture	override-ref	base-leak.value	clean	clean	yes
fixture	override-ref	base-leak.resolution-path	leak	leak	yes
fixture	override-ref	base-leak.schema	clean	clean	yes
fixture	override-ref	base-leak.composed-path	leak	leak	yes
fixture	override-ref	base-leak.path+schema	clean	clean	yes
fixture	override-ref	base-leak.path+schema+value	clean	clean	yes
fixture	override-ref	fidelity	ok	ok	yes
fixture	ref-over-ref	native	pass	pass	yes
fixture	ref-over-ref	premise.tag	parity	parity	yes
fixture	ref-over-ref	premise.marked	parity	parity	yes
fixture	ref-over-ref	premise.binding	parity	parity	yes
fixture	ref-over-ref	effective	pass-b	pass-b	yes
fixture	ref-over-ref	overridden	pass-a	pass-a	yes
fixture	ref-over-ref	unresolved	-	-	yes
fixture	ref-over-ref	message.patch	none	none	yes
fixture	ref-over-ref	message.validate	verbatim	verbatim	yes
fixture	ref-over-ref	leak.none	leak	leak	yes
fixture	ref-over-ref	leak.value	clean	clean	yes
fixture	ref-over-ref	leak.resolution-path	clean	clean	yes
fixture	ref-over-ref	leak.schema	clean	clean	yes
fixture	ref-over-ref	leak.composed-path	clean	clean	yes
fixture	ref-over-ref	leak.path+schema	clean	clean	yes
fixture	ref-over-ref	leak.path+schema+value	clean	clean	yes
fixture	ref-over-ref	base-leak.none	leak	leak	yes
fixture	ref-over-ref	base-leak.value	clean	clean	yes
fixture	ref-over-ref	base-leak.resolution-path	leak	leak	yes
fixture	ref-over-ref	base-leak.schema	clean	clean	yes
fixture	ref-over-ref	base-leak.composed-path	leak	leak	yes
fixture	ref-over-ref	base-leak.path+schema	clean	clean	yes
fixture	ref-over-ref	base-leak.path+schema+value	clean	clean	yes
fixture	ref-over-ref	fidelity	ok	ok	yes
fixture	rotate-r1	native	pass	pass	yes
fixture	rotate-r1	premise.tag	parity	parity	yes
fixture	rotate-r1	premise.marked	parity	parity	yes
fixture	rotate-r1	premise.binding	parity	parity	yes
fixture	rotate-r1	effective	reg-pass	reg-pass	yes
fixture	rotate-r1	overridden	-	-	yes
fixture	rotate-r1	unresolved	-	-	yes
fixture	rotate-r1	message.patch	none	none	yes
fixture	rotate-r1	message.validate	verbatim	verbatim	yes
fixture	rotate-r1	leak.none	leak	leak	yes
fixture	rotate-r1	leak.value	clean	clean	yes
fixture	rotate-r1	leak.resolution-path	clean	clean	yes
fixture	rotate-r1	leak.schema	clean	clean	yes
fixture	rotate-r1	leak.composed-path	clean	clean	yes
fixture	rotate-r1	leak.path+schema	clean	clean	yes
fixture	rotate-r1	leak.path+schema+value	clean	clean	yes
fixture	rotate-r1	base-leak.none	leak	leak	yes
fixture	rotate-r1	base-leak.value	clean	clean	yes
fixture	rotate-r1	base-leak.resolution-path	leak	leak	yes
fixture	rotate-r1	base-leak.schema	clean	clean	yes
fixture	rotate-r1	base-leak.composed-path	leak	leak	yes
fixture	rotate-r1	base-leak.path+schema	clean	clean	yes
fixture	rotate-r1	base-leak.path+schema+value	clean	clean	yes
fixture	rotate-r1	fidelity	ok	ok	yes
fixture	rotate-r2	native	pass	pass	yes
fixture	rotate-r2	premise.tag	parity	parity	yes
fixture	rotate-r2	premise.marked	parity	parity	yes
fixture	rotate-r2	premise.binding	parity	parity	yes
fixture	rotate-r2	effective	reg-pass	reg-pass	yes
fixture	rotate-r2	overridden	-	-	yes
fixture	rotate-r2	unresolved	-	-	yes
fixture	rotate-r2	message.patch	none	none	yes
fixture	rotate-r2	message.validate	verbatim	verbatim	yes
fixture	rotate-r2	leak.none	leak	leak	yes
fixture	rotate-r2	leak.value	clean	clean	yes
fixture	rotate-r2	leak.resolution-path	clean	clean	yes
fixture	rotate-r2	leak.schema	clean	clean	yes
fixture	rotate-r2	leak.composed-path	clean	clean	yes
fixture	rotate-r2	leak.path+schema	clean	clean	yes
fixture	rotate-r2	leak.path+schema+value	clean	clean	yes
fixture	rotate-r2	base-leak.none	leak	leak	yes
fixture	rotate-r2	base-leak.value	clean	clean	yes
fixture	rotate-r2	base-leak.resolution-path	leak	leak	yes
fixture	rotate-r2	base-leak.schema	clean	clean	yes
fixture	rotate-r2	base-leak.composed-path	leak	leak	yes
fixture	rotate-r2	base-leak.path+schema	clean	clean	yes
fixture	rotate-r2	base-leak.path+schema+value	clean	clean	yes
fixture	rotate-r2	fidelity	ok	ok	yes
fixture	string	native	pass	pass	yes
fixture	string	premise.tag	parity	parity	yes
fixture	string	premise.marked	parity	parity	yes
fixture	string	premise.binding	parity	parity	yes
fixture	string	effective	reg-pass	reg-pass	yes
fixture	string	overridden	-	-	yes
fixture	string	unresolved	-	-	yes
fixture	string	message.patch	none	none	yes
fixture	string	message.validate	verbatim	verbatim	yes
fixture	string	leak.none	leak	leak	yes
fixture	string	leak.value	clean	clean	yes
fixture	string	leak.resolution-path	clean	clean	yes
fixture	string	leak.schema	clean	clean	yes
fixture	string	leak.composed-path	clean	clean	yes
fixture	string	leak.path+schema	clean	clean	yes
fixture	string	leak.path+schema+value	clean	clean	yes
fixture	string	base-leak.none	leak	leak	yes
fixture	string	base-leak.value	clean	clean	yes
fixture	string	base-leak.resolution-path	leak	leak	yes
fixture	string	base-leak.schema	clean	clean	yes
fixture	string	base-leak.composed-path	leak	leak	yes
fixture	string	base-leak.path+schema	clean	clean	yes
fixture	string	base-leak.path+schema+value	clean	clean	yes
fixture	string	fidelity	ok	ok	yes
fixture	type-mismatch	native	rejected	rejected	yes
fixture	type-mismatch	premise.tag	rejected	rejected	yes
fixture	type-mismatch	premise.marked	rejected	rejected	yes
fixture	type-mismatch	premise.binding	rejected	rejected	yes
fixture	type-mismatch	effective	-	-	yes
fixture	type-mismatch	overridden	-	-	yes
fixture	type-mismatch	unresolved	-	-	yes
fixture	type-mismatch	message.patch	redacted	redacted	yes
fixture	type-mismatch	message.validate	skipped	skipped	yes
fixture	type-mismatch	leak.none	leak	leak	yes
