n	scenario	backend	row	expected	observed	verdict	transcript
024	s6	postgres	sigkill-then-rerun	rc:killed=137 after-kill.migration:2=r1 after-kill.migration:3=unset after-kill.has_job=0 rc:rerun=0 migration:3=r2 migration:4=r2 has_job_state_check=1	rc:killed=137 after-kill.migration:2=r1 after-kill.migration:3=unset after-kill.has_job=0 rc:rerun=0 migration:3=r2 migration:4=r2 has_job_state_check=1	match	transcripts/024-s6-postgres-sigkill-then-rerun.txt
025	s6	postgres	concurrent-locked	rc:setup=0 clients_failed=0 migration:1=r0 versions_recorded=4 applied_total=3 has_job_state_check=1	rc:setup=0 clients_failed=0 migration:1=r0 versions_recorded=4 applied_total=3 has_job_state_check=1	match	transcripts/025-s6-postgres-concurrent-locked.txt
026	s6	postgres	concurrent-unlocked-control	rc:setup=0 clients_failed>0 versions_recorded>0 applied_total=3	rc:setup=0 clients_failed=3 versions_recorded=4 applied_total=3	match	transcripts/026-s6-postgres-concurrent-unlocked-control.txt
027	s7	postgres	restore	rc:inject-db-snapshot=0 rc:inject-db-restore=0 before-restore.releases=2 before-restore.takeovers=2 before-restore.attempts=1 restored.releases=1 restored.takeovers=0 restored.attempts=0 restored.operations=1 restored.op:1=x 1 0 rc:r3=0 out:r3~ id=2  rc:again-y=0 rc:again-x=0 out:again-x~gen=3 rc:old-token=0	rc:inject-db-snapshot=0 rc:inject-db-restore=0 before-restore.releases=2 before-restore.takeovers=2 before-restore.attempts=1 restored.releases=1 restored.takeovers=0 restored.attempts=0 restored.operations=1 restored.op:1=x 1 0 rc:r3=0 out:r3~yes rc:again-y=0 rc:again-x=0 out:again-x~yes rc:old-token=0	match	transcripts/027-s7-postgres-restore.txt
028	s8	postgres	unrelated-writer	rc:publish=0 rc:write=0 out:write~outcome=done elapsed_ms=[0-9]{1,3}  revisions_recorded=1	rc:publish=0 rc:write=0 out:write~yes revisions_recorded=1	match	transcripts/028-s8-postgres-unrelated-writer.txt
029	s1	sqlite	cas	rc:race=0 out:race~wins=20 conflicts=140 busy=0 revisions_recorded=20 duplicate_revisions=0 final_revision=20 lost_updates=0	rc:race=0 out:race~yes revisions_recorded=20 duplicate_revisions=0 final_revision=20 lost_updates=0	match	transcripts/029-s1-sqlite-cas.txt
030	s1	sqlite	cas-processes	rc:p1=0 rc:p2=0 rc:p3=0 rc:p4=0 duplicate_revisions=0 lost_updates=0 revisions_recorded>9	rc:p1=0 rc:p2=0 rc:p3=0 rc:p4=0 duplicate_revisions=0 lost_updates=0 revisions_recorded=33	match	transcripts/030-s1-sqlite-cas-processes.txt
031	s1	sqlite	blind-control	rc:race=0 out:race~wins=160 final_revision=20 revisions_recorded=160 lost_updates=140 duplicate_revisions=20	rc:race=0 out:race~yes final_revision=20 revisions_recorded=160 lost_updates=140 duplicate_revisions=20	match	transcripts/031-s1-sqlite-blind-control.txt
032	s2	sqlite	normal	rc:publish=0 releases=1 artifacts=8 sources=1 incomplete_releases=0	rc:publish=0 releases=1 artifacts=8 sources=1 incomplete_releases=0	match	transcripts/032-s2-sqlite-normal.txt
033	s2	sqlite	stale-input	rc:write=0 rc:publish=3 out:publish~reason=stale releases=0 artifacts=0 sources=0	rc:write=0 rc:publish=3 out:publish~yes releases=0 artifacts=0 sources=0	match	transcripts/033-s2-sqlite-stale-input.txt
034	s2	sqlite	fail-at-5	rc:publish=1 out:publish~injected failure releases=0 artifacts=0 sources=0	rc:publish=1 out:publish~yes releases=0 artifacts=0 sources=0	match	transcripts/034-s2-sqlite-fail-at-5.txt
035	s2	sqlite	client-sigkill	rc:publish=137 releases=0 artifacts=0 sources=0	rc:publish=137 releases=0 artifacts=0 sources=0	match	transcripts/035-s2-sqlite-client-sigkill.txt
036	s2	sqlite	kill-before-commit	rc:publish=137 after-kill.releases=0 after-kill.artifacts=0 rc:retry=0 out:retry~existing=false releases=1 artifacts=8	rc:publish=137 after-kill.releases=0 after-kill.artifacts=0 rc:retry=0 out:retry~yes releases=1 artifacts=8	match	transcripts/036-s2-sqlite-kill-before-commit.txt
037	s2	sqlite	retry	rc:first=0 rc:same=0 out:same~existing=true rc:different=3 out:different~reason=conflict releases=1 artifacts=8	rc:first=0 rc:same=0 out:same~yes rc:different=3 out:different~yes releases=1 artifacts=8	match	transcripts/037-s2-sqlite-retry.txt
038	s2	sqlite	race-locked	rc:publish=0 rc:write=0 releases=1 stale_at_commit=0 out:write~elapsed_ms=[1-9][0-9]{3} 	rc:publish=0 rc:write=0 releases=1 stale_at_commit=0 out:write~yes	match	transcripts/038-s2-sqlite-race-locked.txt
039	s2	sqlite	race-unlocked-control	rc:publish=0 rc:write=0 releases=1 stale_at_commit=0 out:write~elapsed_ms=[1-9][0-9]{3} 	rc:publish=0 rc:write=0 releases=1 stale_at_commit=0 out:write~yes	match	transcripts/039-s2-sqlite-race-unlocked-control.txt
040	s3	sqlite	race-processes	clients_created=1 clients_scope_busy=7 operations=1 scopes_with_two_active=0 intents_recorded=1	clients_created=1 clients_scope_busy=7 operations=1 scopes_with_two_active=0 intents_recorded=1	match	transcripts/040-s3-sqlite-race-processes.txt
041	s3	sqlite	retry-same-key	rc:first=0 rc:retry=0 out:retry~op=1 created=false operations=1 intents_recorded=1	rc:first=0 rc:retry=0 out:retry~yes operations=1 intents_recorded=1	match	transcripts/041-s3-sqlite-retry-same-key.txt
042	s3	sqlite	after-completion	rc:first=0 rc:blocked=3 out:blocked~reason=scope-busy rc:finish=0 rc:second=0 rc:other=0 operations=3 scopes_with_two_active=0	rc:first=0 rc:blocked=3 out:blocked~yes rc:finish=0 rc:second=0 rc:other=0 operations=3 scopes_with_two_active=0	match	transcripts/042-s3-sqlite-after-completion.txt
043	s4	sqlite	takeover-race-processes	clients_won=1 takeovers=1 stale_attempts=0	clients_won=1 takeovers=1 stale_attempts=0	match	transcripts/043-s4-sqlite-takeover-race-processes.txt
044	s4	sqlite	stale-owner-fenced	rc:takeover=0 rc:stale=3 out:stale~reason=fenced rc:current=0 attempts=1 stale_attempts=0 op:1=b 2 1	rc:takeover=0 rc:stale=3 out:stale~yes rc:current=0 attempts=1 stale_attempts=0 op:1=b 2 1	match	transcripts/044-s4-sqlite-stale-owner-fenced.txt
045	s4	sqlite	attempt-race-fenced	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=0 out:takeover~elapsed_ms=[1-9][0-9]{3} 	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=0 out:takeover~yes	match	transcripts/045-s4-sqlite-attempt-race-fenced.txt
046	s4	sqlite	attempt-race-check-then-insert-control	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=0 out:takeover~elapsed_ms=[1-9][0-9]{3} 	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=0 out:takeover~yes	match	transcripts/046-s4-sqlite-attempt-race-check-then-insert-control.txt
047	s5	sqlite	workers-guarded	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	match	transcripts/047-s5-sqlite-workers-guarded.txt
048	s5	sqlite	workers-naive	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	match	transcripts/048-s5-sqlite-workers-naive.txt
049	s5	sqlite	lease-expiry	rc:claim-a=0 rc:claim-b-early=3 out:claim-b-early~reason=no-job rc:claim-b=0 out:claim-b~fence=2 rc:late-a=3 out:late-a~reason=fenced rc:complete-b=0 job:1=done 2 b 2	rc:claim-a=0 rc:claim-b-early=3 out:claim-b-early~yes rc:claim-b=0 out:claim-b~yes rc:late-a=3 out:late-a~yes rc:complete-b=0 job:1=done 2 b 2	match	transcripts/049-s5-sqlite-lease-expiry.txt
050	s6	sqlite	fresh	rc:migrate=0 migration:1=r1 migration:4=r1 has_job=1 has_job_state_check=1	rc:migrate=0 migration:1=r1 migration:4=r1 has_job=1 has_job_state_check=1	match	transcripts/050-s6-sqlite-fresh.txt
051	s6	sqlite	fail-then-rerun	rc:fail=1 out:fail~injected failure after-fail.migration:2=r1 after-fail.migration:3=unset after-fail.has_job=0 rc:rerun=0 out:rerun~applied=\[3 4\] migration:3=r2 has_job_state_check=1	rc:fail=1 out:fail~yes after-fail.migration:2=r1 after-fail.migration:3=unset after-fail.has_job=0 rc:rerun=0 out:rerun~yes migration:3=r2 has_job_state_check=1	match	transcripts/051-s6-sqlite-fail-then-rerun.txt
052	s6	sqlite	sigkill-then-rerun	rc:killed=137 after-kill.migration:2=r1 after-kill.migration:3=unset after-kill.has_job=0 rc:rerun=0 migration:3=r2 migration:4=r2 has_job_state_check=1	rc:killed=137 after-kill.migration:2=r1 after-kill.migration:3=unset after-kill.has_job=0 rc:rerun=0 migration:3=r2 migration:4=r2 has_job_state_check=1	match	transcripts/052-s6-sqlite-sigkill-then-rerun.txt
053	s6	sqlite	concurrent-locked	rc:setup=0 clients_failed=0 migration:1=r0 versions_recorded=4 applied_total=3 has_job_state_check=1	rc:setup=0 clients_failed=0 migration:1=r0 versions_recorded=4 applied_total=3 has_job_state_check=1	match	transcripts/053-s6-sqlite-concurrent-locked.txt
054	s6	sqlite	concurrent-unlocked-control	rc:setup=0 clients_failed>0 versions_recorded>0 applied_total=3	rc:setup=0 clients_failed=3 versions_recorded=4 applied_total=3	match	transcripts/054-s6-sqlite-concurrent-unlocked-control.txt
055	s7	sqlite	restore	rc:inject-store-snapshot=0 rc:inject-store-restore=0 quiesced-at-snapshot=yes quiesced-at-restore=yes before-restore.releases=2 before-restore.takeovers=2 before-restore.attempts=1 restored.releases=1 restored.takeovers=0 restored.attempts=0 restored.operations=1 restored.op:1=x 1 0 rc:r3=0 out:r3~ id=2  rc:again-y=0 rc:again-x=0 out:again-x~gen=3 rc:old-token=0	rc:inject-store-snapshot=0 rc:inject-store-restore=0 quiesced-at-snapshot=yes quiesced-at-restore=yes before-restore.releases=2 before-restore.takeovers=2 before-restore.attempts=1 restored.releases=1 restored.takeovers=0 restored.attempts=0 restored.operations=1 restored.op:1=x 1 0 rc:r3=0 out:r3~yes rc:again-y=0 rc:again-x=0 out:again-x~yes rc:old-token=0	match	transcripts/055-s7-sqlite-restore.txt
056	s8	sqlite	unrelated-writer	rc:publish=0 rc:write=1 out:write~class=busy elapsed_ms=5[0-9]{3}  revisions_recorded=0	rc:publish=0 rc:write=1 out:write~yes revisions_recorded=0	match	transcripts/056-s8-sqlite-unrelated-writer.txt
057	s5	postgres	workers-skip-locked	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	match	transcripts/057-s5-postgres-workers-skip-locked.txt
058	s2	postgres	server-kill	rc:inject-kill=0 rc:inject-start=0 rc:publish=1 out:publish~class=conn releases=0 artifacts=0	rc:inject-kill=0 rc:inject-start=0 rc:publish=1 out:publish~yes releases=0 artifacts=0	match	transcripts/058-s2-postgres-server-kill.txt
059	s2	postgres	server-pause	rc:inject-pause=0 rc:inject-unpause=0 rc:publish=0 releases=1 artifacts=8 incomplete_releases=0	rc:inject-pause=0 rc:inject-unpause=0 rc:publish=0 releases=1 artifacts=8 incomplete_releases=0	match	transcripts/059-s2-postgres-server-pause.txt
060	s2	postgres	netsplit	rc:inject-netsplit=0 rc:inject-netjoin=0 incomplete_releases=0	rc:inject-netsplit=0 rc:inject-netjoin=0 incomplete_releases=0	match	transcripts/060-s2-postgres-netsplit.txt
061	s2	postgres	commit-unknown	rc:inject-pause=0 rc:inject-unpause=0 rc:publish=137 out:publish~^commit-sent after-kill.incomplete_releases=0 rc:retry=0 releases=1 artifacts=8 incomplete_releases=0	rc:inject-pause=0 rc:inject-unpause=0 rc:publish=137 out:publish~yes after-kill.incomplete_releases=0 rc:retry=0 releases=1 artifacts=8 incomplete_releases=0	match	transcripts/061-s2-postgres-commit-unknown.txt
062	tests	sqlite	go-test	rc:go-test=0 out:go-test~^ok	rc:go-test=0 out:go-test~yes	match	transcripts/062-tests-sqlite-go-test.txt
063	tests	postgres	go-test	rc:go-test=0 out:go-test~^ok	rc:go-test=0 out:go-test~yes	match	transcripts/063-tests-postgres-go-test.txt
