n	group	row	expected	observed	verdict	transcript
011	rpc-client	v1.15.0-alpha.0-talosctl	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match seen:skew_warning rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match skew_warning=1 rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#011-rpc-client-v1.15.0-alpha.0-talosctl
012	rpc-client	v1.15.0-alpha.0-machinery	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 seen:apply_warnings after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 apply_warnings=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#012-rpc-client-v1.15.0-alpha.0-machinery
013	rpc-contract	v1.12.12-current	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#013-rpc-contract-v1.12.12-current
014	rpc-contract	v1.12.12-v1.10.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#014-rpc-contract-v1.12.12-v1.10.0
015	rpc-contract	v1.12.12-v1.11.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#015-rpc-contract-v1.12.12-v1.11.0
016	rpc-contract	v1.12.12-v1.12.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#016-rpc-contract-v1.12.12-v1.12.0
017	rpc-contract	v1.12.12-v1.13.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#017-rpc-contract-v1.12.12-v1.13.0
018	rpc-contract	v1.12.12-v1.14.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#018-rpc-contract-v1.12.12-v1.14.0
019	rpc-contract	v1.12.12-v1.15.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#019-rpc-contract-v1.12.12-v1.15.0
020	rpc-contract	v1.13.0-current	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#020-rpc-contract-v1.13.0-current
021	rpc-contract	v1.13.0-v1.10.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#021-rpc-contract-v1.13.0-v1.10.0
022	rpc-contract	v1.13.0-v1.11.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#022-rpc-contract-v1.13.0-v1.11.0
023	rpc-contract	v1.13.0-v1.12.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#023-rpc-contract-v1.13.0-v1.12.0
024	rpc-contract	v1.13.0-v1.13.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#024-rpc-contract-v1.13.0-v1.13.0
025	rpc-contract	v1.13.0-v1.14.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#025-rpc-contract-v1.13.0-v1.14.0
026	rpc-contract	v1.13.0-v1.15.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#026-rpc-contract-v1.13.0-v1.15.0
027	rpc-contract	v1.13.6-current	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#027-rpc-contract-v1.13.6-current
028	rpc-contract	v1.13.6-v1.10.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#028-rpc-contract-v1.13.6-v1.10.0
029	rpc-contract	v1.13.6-v1.11.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#029-rpc-contract-v1.13.6-v1.11.0
030	rpc-contract	v1.13.6-v1.12.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#030-rpc-contract-v1.13.6-v1.12.0
031	rpc-contract	v1.13.6-v1.13.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#031-rpc-contract-v1.13.6-v1.13.0
032	rpc-contract	v1.13.6-v1.14.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#032-rpc-contract-v1.13.6-v1.14.0
033	rpc-contract	v1.13.6-v1.15.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#033-rpc-contract-v1.13.6-v1.15.0
034	rpc-contract	v1.13.10-current	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#034-rpc-contract-v1.13.10-current
035	rpc-contract	v1.13.10-v1.10.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#035-rpc-contract-v1.13.10-v1.10.0
036	rpc-contract	v1.13.10-v1.11.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#036-rpc-contract-v1.13.10-v1.11.0
037	rpc-contract	v1.13.10-v1.12.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#037-rpc-contract-v1.13.10-v1.12.0
038	rpc-contract	v1.13.10-v1.13.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#038-rpc-contract-v1.13.10-v1.13.0
039	rpc-contract	v1.13.10-v1.14.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#039-rpc-contract-v1.13.10-v1.14.0
040	rpc-contract	v1.13.10-v1.15.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#040-rpc-contract-v1.13.10-v1.15.0
041	rpc-contract	v1.14.1-current	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_"DiscoveryServiceConfig"_"v1alpha1":_not_registered mdry=1 mreason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_\"DiscoveryServiceConfig\"_\"v1alpha1\":_not_registered verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#041-rpc-contract-v1.14.1-current
042	rpc-contract	v1.14.1-v1.10.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#042-rpc-contract-v1.14.1-v1.10.0
043	rpc-contract	v1.14.1-v1.11.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#043-rpc-contract-v1.14.1-v1.11.0
044	rpc-contract	v1.14.1-v1.12.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#044-rpc-contract-v1.14.1-v1.12.0
045	rpc-contract	v1.14.1-v1.13.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#045-rpc-contract-v1.14.1-v1.13.0
046	rpc-contract	v1.14.1-v1.14.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_"DiscoveryServiceConfig"_"v1alpha1":_not_registered mdry=1 mreason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_\"DiscoveryServiceConfig\"_\"v1alpha1\":_not_registered verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#046-rpc-contract-v1.14.1-v1.14.0
047	rpc-contract	v1.14.1-v1.15.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_"DiscoveryServiceConfig"_"v1alpha1":_not_registered mdry=1 mreason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_\"DiscoveryServiceConfig\"_\"v1alpha1\":_not_registered verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#047-rpc-contract-v1.14.1-v1.15.0
048	rpc-contract	v1.15.0-alpha.0-current	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_"DiscoveryServiceConfig"_"v1alpha1":_not_registered mdry=1 mreason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_\"DiscoveryServiceConfig\"_\"v1alpha1\":_not_registered verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#048-rpc-contract-v1.15.0-alpha.0-current
049	rpc-contract	v1.15.0-alpha.0-v1.10.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#049-rpc-contract-v1.15.0-alpha.0-v1.10.0
050	rpc-contract	v1.15.0-alpha.0-v1.11.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=this_config_change_can't_be_applied_in_immediate_mode mdry=1 mreason=this_config_change_can't_be_applied_in_immediate_mode verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#050-rpc-contract-v1.15.0-alpha.0-v1.11.0
051	rpc-contract	v1.15.0-alpha.0-v1.12.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#051-rpc-contract-v1.15.0-alpha.0-v1.12.0
052	rpc-contract	v1.15.0-alpha.0-v1.13.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=0 reason=- mdry=0 mreason=- verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#052-rpc-contract-v1.15.0-alpha.0-v1.13.0
053	rpc-contract	v1.15.0-alpha.0-v1.14.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_"DiscoveryServiceConfig"_"v1alpha1":_not_registered mdry=1 mreason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_\"DiscoveryServiceConfig\"_\"v1alpha1\":_not_registered verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#053-rpc-contract-v1.15.0-alpha.0-v1.14.0
054	rpc-contract	v1.15.0-alpha.0-v1.15.0	seen:dry seen:reason seen:mdry seen:mreason verdict=agree after.is=pre after.landed=0	dry=1 reason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_"DiscoveryServiceConfig"_"v1alpha1":_not_registered mdry=1 mreason=error_decoding_document_v1alpha1/DiscoveryServiceConfig/default_(line_16):_\"DiscoveryServiceConfig\"_\"v1alpha1\":_not_registered verdict=agree after.is=pre after.landed=0	match	transcripts/rpc-contract.txt#054-rpc-contract-v1.15.0-alpha.0-v1.15.0
055	controls	gen-bogus-refused	refused_rows=12 rows=12	refused_rows=12 rows=12	match	transcripts/controls.txt#055-controls-gen-bogus-refused
056	controls	gen-repeatable	differs=0 same=132 any_generating=yes	differs=0 same=132 any_generating=yes	match	transcripts/controls.txt#056-controls-gen-repeatable
057	controls	compare-unequal	digest=differs rc:paths=0 out:paths~^~ 0/cluster/clusterName$	digest=differs rc:paths=0 out:paths~yes	match	transcripts/controls.txt#057-controls-compare-unequal
058	controls	validate-invalid-refused	accepted=0 named=24	accepted=0 named=24	match	transcripts/controls.txt#058-controls-validate-invalid-refused
059	controls	rpc-invalid-refused	rc:tc!=0 rc:m!=0 out:tc~unknown machine type "bogus" out:m~unknown machine type \\"bogus\\" after.is=pre after.landed=0	rc:tc=1 rc:m=1 out:tc~yes out:m~yes after.is=pre after.landed=0	match	transcripts/controls.txt#059-controls-rpc-invalid-refused
060	tests	e3m-paths	rc:go=0	rc:go=0	match	transcripts/tests.txt#060-tests-e3m-paths
