n	candidate	case	dependency	identity	state	expected	observed	reason	verdict	command	transcript
013	openbao	inject	gen/destroy/g1@1	operator	baseline	ok	ok	-	match	inject bao-destroy gen/destroy/g1 1 	transcripts/013-openbao-inject.txt
014	openbao	inject	rc-del	operator	baseline	ok	ok	-	match	inject bao-delete-key rc-del 	transcripts/014-openbao-inject.txt
015	openbao	inject	gen/metadel/g1	admin	baseline	ok	ok	-	match	as admin bao kv metadata delete -mount=secret gen/metadel/g1 	transcripts/015-openbao-inject.txt
016	openbao	inject	rc-art	admin	baseline	ok	ok	-	match	as admin bao write -f transit/keys/rc-art/rotate 	transcripts/016-openbao-inject.txt
017	openbao	inject	rc-art	admin	baseline	ok	ok	-	match	as admin bao write transit/keys/rc-art/config min_decryption_version=2 	transcripts/017-openbao-inject.txt
018	openbao	inject	rc-trim	admin	baseline	ok	ok	-	match	as admin bao write -f transit/keys/rc-trim/rotate 	transcripts/018-openbao-inject.txt
019	openbao	inject	rc-trim	admin	baseline	ok	ok	-	match	as admin bao write transit/keys/rc-trim/config min_decryption_version=2 min_encryption_version=2 	transcripts/019-openbao-inject.txt
020	openbao	inject	rc-trim	admin	baseline	ok	ok	-	match	as admin bao write transit/keys/rc-trim/trim min_available_version=2 	transcripts/020-openbao-inject.txt
021	openbao	soft-deleted	gen/soft/g1@1	metadata	removed	blocked	blocked	soft-deleted at 2026-09-24T19:51:17Z (reversible by undelete)	match	classify openbao-kv secret gen/soft/g1 1 	transcripts/021-openbao-soft-deleted.txt
022	openbao	destroyed	gen/destroy/g1@1	metadata	removed	lost	lost	destroyed	match	classify openbao-kv secret gen/destroy/g1 1 	transcripts/022-openbao-destroyed.txt
023	openbao	key-deleted	rc-del@1	metadata	removed	unknown	unknown	absent: HTTP 404	match	classify openbao-transit transit rc-del 1 	transcripts/023-openbao-key-deleted.txt
024	openbao	metadata-deleted	gen/metadel/g1@1	metadata	removed	unknown	unknown	absent: HTTP 404	match	classify openbao-kv secret gen/metadel/g1 1 	transcripts/024-openbao-metadata-deleted.txt
025	openbao	floor	rc-art@1	metadata	removed	blocked	blocked	below min_decryption_version 2 (reversible)	match	classify openbao-transit transit rc-art 1 	transcripts/025-openbao-floor.txt
026	openbao	floor	rc-art@2	metadata	removed	retained	retained	key version 2 within latest 2, decryption floor 2	match	classify openbao-transit transit rc-art 2 	transcripts/026-openbao-floor.txt
027	openbao	trimmed	rc-trim@1	metadata	removed	lost	lost	trimmed: below min_available_version 2	match	classify openbao-transit transit rc-trim 1 	transcripts/027-openbao-trimmed.txt
028	openbao	truth	rc-trim	admin	removed	ok	ok	-	match	as admin key_truth transit rc-trim 	transcripts/028-openbao-truth.txt
029	openbao	floor	rc-art@1	executor	removed	fail	fail	-	match	as executor decrypt rc-art <RC_OUT>/work/openbao/art.ct 	transcripts/029-openbao-floor.txt
030	openbao	key-deleted	rc-del@1	executor	removed	fail	fail	-	match	as executor decrypt rc-del <RC_OUT>/work/openbao/del.ct 	transcripts/030-openbao-key-deleted.txt
031	openbao	reverse	gen/soft/g1@1	admin	removed	ok	ok	-	match	as admin bao kv undelete -mount=secret -versions=1 gen/soft/g1 	transcripts/031-openbao-reverse.txt
032	openbao	reverse	rc-art	admin	removed	ok	ok	-	match	as admin bao write transit/keys/rc-art/config min_decryption_version=1 	transcripts/032-openbao-reverse.txt
033	openbao	reverse	rc-trim	admin	removed	fail	fail	-	match	as admin bao write transit/keys/rc-trim/config min_decryption_version=1 	transcripts/033-openbao-reverse.txt
034	openbao	undeleted	gen/soft/g1@1	metadata	reversed	retained	retained	version present, not deleted	match	classify openbao-kv secret gen/soft/g1 1 	transcripts/034-openbao-undeleted.txt
035	openbao	floor-lowered	rc-art@1	metadata	reversed	retained	retained	key version 1 within latest 2, decryption floor 1	match	classify openbao-transit transit rc-art 1 	transcripts/035-openbao-floor-lowered.txt
036	openbao	destroyed	gen/destroy/g1@1	metadata	reversed	lost	lost	destroyed	match	classify openbao-kv secret gen/destroy/g1 1 	transcripts/036-openbao-destroyed.txt
037	openbao	trimmed	rc-trim@1	metadata	reversed	lost	lost	trimmed: below min_available_version 2	match	classify openbao-transit transit rc-trim 1 	transcripts/037-openbao-trimmed.txt
038	openbao	floor-lowered	rc-art@1	executor	reversed	ok	ok	-	match	as executor decrypt rc-art <RC_OUT>/work/openbao/art.ct 	transcripts/038-openbao-floor-lowered.txt
039	openbao	inject	openbao	operator	reversed	ok	ok	-	match	inject netsplit openbao 	transcripts/039-openbao-inject.txt
040	openbao	unreachable	gen/app/g1@1	metadata	partitioned	unknown	unknown	unreachable: curl exit 7	match	classify openbao-kv secret gen/app/g1 1 	transcripts/040-openbao-unreachable.txt
041	openbao	unreachable	gen/destroy/g1@1	metadata	partitioned	unknown	unknown	unreachable: curl exit 7	match	classify openbao-kv secret gen/destroy/g1 1 	transcripts/041-openbao-unreachable.txt
042	openbao	unreachable	rc-art@1	metadata	partitioned	unknown	unknown	unreachable: curl exit 7	match	classify openbao-transit transit rc-art 1 	transcripts/042-openbao-unreachable.txt
043	openbao	watch	gen/app/g1@1	metadata	partitioned	unknown	unknown	monitor after 3 observations: alert=persistent unknown_since=1790279510	match	watch gen-app-g1 3 4 openbao-kv secret gen/app/g1 1 	transcripts/043-openbao-watch.txt
044	openbao	inject	openbao	operator	partitioned	ok	ok	-	match	inject netjoin openbao 	transcripts/044-openbao-inject.txt
045	openbao	rejoined	gen/app/g1@1	metadata	rejoined	retained	retained	version present, not deleted	match	classify openbao-kv secret gen/app/g1 1 	transcripts/045-openbao-rejoined.txt
046	openbao	inject	openbao	operator	rejoined	ok	ok	-	match	inject pause openbao 	transcripts/046-openbao-inject.txt
047	openbao	no-answer	gen/app/g1@1	metadata	paused	unknown	unknown	no answer: curl exit 28	match	env RC_ASK_LIMIT=5 <repo>/experiments/e5-retention-classification/run/classify openbao-kv secret gen/app/g1 1 	transcripts/047-openbao-no-answer.txt
048	openbao	inject	gen/uncertain/g1@1	operator	paused	fail	fail	-	match	inject bao-destroy gen/uncertain/g1 1 	transcripts/048-openbao-inject.txt
049	openbao	inject	openbao	operator	paused	ok	ok	-	match	inject unpause openbao 	transcripts/049-openbao-inject.txt
050	openbao	uncertain	gen/uncertain/g1@1	metadata	after-uncertain	any	retained	version present, not deleted	match	classify openbao-kv secret gen/uncertain/g1 1 	transcripts/050-openbao-uncertain.txt
051	openbao	truth	gen/uncertain/g1	admin	after-uncertain	ok	ok	-	match	as admin truth secret gen/uncertain/g1 	transcripts/051-openbao-truth.txt
052	openbao	inject	openbao	admin	after-uncertain	ok	ok	-	match	as admin bao operator seal 	transcripts/052-openbao-inject.txt
053	openbao	sealed	gen/app/g1@1	metadata	sealed	unknown	unknown	sealed or unavailable: HTTP 503	match	classify openbao-kv secret gen/app/g1 1 	transcripts/053-openbao-sealed.txt
054	openbao	unseal	openbao	operator	sealed	ok	ok	-	match	bao_unseal 	transcripts/054-openbao-unseal.txt
055	openbao	unsealed	gen/app/g1@1	metadata	unsealed	retained	retained	version present, not deleted	match	classify openbao-kv secret gen/app/g1 1 	transcripts/055-openbao-unsealed.txt
056	openbao	retained	gen/app/g1@1	metadata	authority	retained	retained	version present, not deleted	match	classify openbao-kv secret gen/app/g1 1 	transcripts/056-openbao-retained.txt
057	openbao	read	gen/app/g1@1	metadata	authority	denied	denied	-	match	as metadata bao kv get -mount=secret gen/app/g1 	transcripts/057-openbao-read.txt
058	openbao	read	gen/app/g1@1	other	authority	denied	denied	-	match	as other bao kv get -mount=secret gen/app/g1 	transcripts/058-openbao-read.txt
059	openbao	retained	rc-art@1	metadata	authority	retained	retained	key version 1 within latest 2, decryption floor 1	match	classify openbao-transit transit rc-art 1 	transcripts/059-openbao-retained.txt
060	openbao	decrypt	rc-art@1	compiler	authority	denied	denied	-	match	as compiler decrypt rc-art <RC_OUT>/work/openbao/art.ct 	transcripts/060-openbao-decrypt.txt
061	openbao	decrypt	rc-art@1	executor	authority	fail	fail	-	match	as executor decrypt rc-art <RC_OUT>/work/openbao/art-damaged.ct 	transcripts/061-openbao-decrypt.txt
062	openbao	revoke	executor	admin	authority	ok	ok	-	match	as admin bao token revoke -accessor wV1XQQbZNX2eqfPIa8EN7SwI 	transcripts/062-openbao-revoke.txt
063	openbao	retained	rc-art@1	metadata	authority	retained	retained	key version 1 within latest 2, decryption floor 1	match	classify openbao-transit transit rc-art 1 	transcripts/063-openbao-retained.txt
064	openbao	decrypt	rc-art@1	executor	authority	denied	denied	-	match	as executor decrypt rc-art <RC_OUT>/work/openbao/art.ct 	transcripts/064-openbao-decrypt.txt
065	age-store	retained	app@g1	metadata	local-files	retained	retained	metadata present, ciphertext digest matches (no key is checked)	match	classify age-store <repo>/fixtures/.state/data/rc-age-store app g1 	transcripts/065-age-store-retained.txt
066	age-store	retained	app@g2	metadata	local-files	retained	retained	metadata present, ciphertext digest matches (no key is checked)	match	classify age-store <repo>/fixtures/.state/data/rc-age-store app g2 	transcripts/066-age-store-retained.txt
067	age-store	read	app@g1	compiler	local-files	ok	ok	-	match	check_digest f647cf40c73a65228ecd501e534f26b94fbd9813c831907225c36e0c3441dd6e get compiler app g1 	transcripts/067-age-store-read.txt
068	age-store	absent	app@g9	metadata	local-files	unknown	unknown	absent: no metadata file	match	classify age-store <repo>/fixtures/.state/data/rc-age-store app g9 	transcripts/068-age-store-absent.txt
069	age-store	inject	removed@g1	operator	local-files	ok	ok	-	match	rm -- <repo>/fixtures/.state/data/rc-age-store/objects/removed/g1.age 	transcripts/069-age-store-inject.txt
070	age-store	removed	removed@g1	metadata	local-files	unknown	unknown	absent: metadata present, ciphertext absent	match	classify age-store <repo>/fixtures/.state/data/rc-age-store removed g1 	transcripts/070-age-store-removed.txt
071	age-store	inject	replaced@g1	operator	local-files	ok	ok	-	match	replace compiler replaced g1 age-other 	transcripts/071-age-store-inject.txt
072	age-store	replaced	replaced@g1	metadata	local-files	unknown	unknown	rewritten: ciphertext digest differs from the one the store recorded (replaced, or a re-encryption in progress; no history to tell which)	match	classify age-store <repo>/fixtures/.state/data/rc-age-store replaced g1 	transcripts/072-age-store-replaced.txt
073	age-store	replaced	replaced@g1	compiler	local-files	fail	fail	-	match	check_digest f647cf40c73a65228ecd501e534f26b94fbd9813c831907225c36e0c3441dd6e get compiler replaced g1 	transcripts/073-age-store-replaced.txt
074	age-store	inject	rewrapped@g1	operator	local-files	ok	ok	-	match	replace compiler rewrapped g1 age-g1 	transcripts/074-age-store-inject.txt
075	age-store	rewrapped	rewrapped@g1	metadata	local-files	unknown	unknown	rewritten: ciphertext digest differs from the one the store recorded (replaced, or a re-encryption in progress; no history to tell which)	match	classify age-store <repo>/fixtures/.state/data/rc-age-store rewrapped g1 	transcripts/075-age-store-rewrapped.txt
076	age-store	rewrapped	rewrapped@g1	compiler	local-files	ok	ok	-	match	check_digest f647cf40c73a65228ecd501e534f26b94fbd9813c831907225c36e0c3441dd6e get compiler rewrapped g1 	transcripts/076-age-store-rewrapped.txt
077	age-store	inject	denied@g1	operator	local-files	ok	ok	-	match	chmod 000 <repo>/fixtures/.state/data/rc-age-store/meta/denied/g1.json 	transcripts/077-age-store-inject.txt
078	age-store	denied	denied@g1	metadata	local-files	unknown	unknown	denied: metadata not readable	match	classify age-store <repo>/fixtures/.state/data/rc-age-store denied g1 	transcripts/078-age-store-denied.txt
079	age-store	inject	denied@g1	operator	local-files	ok	ok	-	match	chmod 644 <repo>/fixtures/.state/data/rc-age-store/meta/denied/g1.json 	transcripts/079-age-store-inject.txt
080	age-store	inject	denied@g1	operator	local-files	ok	ok	-	match	chmod 000 <repo>/fixtures/.state/data/rc-age-store/objects/denied/g1.age 	transcripts/080-age-store-inject.txt
081	age-store	denied	denied@g1	metadata	local-files	unknown	unknown	denied: ciphertext not readable	match	classify age-store <repo>/fixtures/.state/data/rc-age-store denied g1 	transcripts/081-age-store-denied.txt
082	age-store	inject	denied@g1	operator	local-files	ok	ok	-	match	chmod 644 <repo>/fixtures/.state/data/rc-age-store/objects/denied/g1.age 	transcripts/082-age-store-inject.txt
083	age-store	restored	denied@g1	metadata	local-files	retained	retained	metadata present, ciphertext digest matches (no key is checked)	match	classify age-store <repo>/fixtures/.state/data/rc-age-store denied g1 	transcripts/083-age-store-restored.txt
084	age-store	inject	keyless@g1	operator	local-files	ok	ok	-	match	rm -- <repo>/fixtures/.state/data/rc-age-store/keys/gone.key 	transcripts/084-age-store-inject.txt
085	age-store	key-deleted	keyless@g1	metadata	local-files	retained	retained	metadata present, ciphertext digest matches (no key is checked)	match	classify age-store <repo>/fixtures/.state/data/rc-age-store keyless g1 	transcripts/085-age-store-key-deleted.txt
086	age-store	key-deleted	keyless@g1	gone	local-files	fail	fail	-	match	get gone keyless g1 	transcripts/086-age-store-key-deleted.txt
087	age-store	blocked	-	-	-	n/a	n/a	no reversible removal: a file is there or it is not, and the store records no hold or delete marker	-	-	-
088	age-store	unreachable	-	-	-	n/a	n/a	a local file has no remote end; an unreadable file is recorded as denied or absent above	-	-	-
089	sops	retained	app	metadata	local-files	retained	retained	same MAC as when referenced (no key is checked)	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/app.enc.json ENC\[AES256_GCM\,data:sw6G8BsRnizHXMK2Uyf78+A4j5umNS/UUHIYiFlbhYwyfyYpBdvGeL0YJOStj68LKUay0SxJOK0IpVKfyUeBMXniTIu9mzZKP7UUEg9nHVWeO6ATYVz/6lJl31wYDoxC0wTNsHNAFDwOPEImZf8s7c/SmDHqqagF+8upURhGkZY=\,iv:mygLh/8zP7WzxAPHqAQBBycxYL4sx/4j1F+SD/xRtCk=\,tag:YbG4JfqOTGN+CUdfph8Ftw==\,type:str\] 	transcripts/089-sops-retained.txt
090	sops	read	app	compiler	local-files	ok	ok	-	match	check_digest dc9d3943a077a81ce23deb3729df174864652ef44fba02441940b9f8f4a40ecd sget compiler app 	transcripts/090-sops-read.txt
091	sops	inject	edited	operator	local-files	ok	ok	-	match	sset edited sops-v2 	transcripts/091-sops-inject.txt
092	sops	replaced	edited	metadata	local-files	unknown	unknown	rewritten: the MAC differs from the referenced one (a re-save changes it; without a key, whether the value changed cannot be told)	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/edited.enc.json ENC\[AES256_GCM\,data:aNvZiDKAqpS/Brn2ISAYq3MOXVP7+EwmB8wlEfiQRk+8xPkvBAigWoodCgwVgoxX24QK5YlBOGpH6jCdwOYE30nx5SoZnp7e7S0DD9Kdewwm60gPNgi74ePH86TyzromBrfYX11xPmadbp93cnYb2mPP6NAKLr2ROQ6txrS0sR8=\,iv:1CxHMlN2oRAAMOuXNVeLKAhnyaHYrU+rLB9QuOQOdj8=\,tag:wn/fC+DNdtBazsaJxEb0jQ==\,type:str\] 	transcripts/092-sops-replaced.txt
093	sops	replaced	edited	compiler	local-files	fail	fail	-	match	check_digest dc9d3943a077a81ce23deb3729df174864652ef44fba02441940b9f8f4a40ecd sget compiler edited 	transcripts/093-sops-replaced.txt
094	sops	inject	resaved	operator	local-files	ok	ok	-	match	sset resaved sops-v2 other 	transcripts/094-sops-inject.txt
095	sops	resaved	resaved	metadata	local-files	unknown	unknown	rewritten: the MAC differs from the referenced one (a re-save changes it; without a key, whether the value changed cannot be told)	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/resaved.enc.json ENC\[AES256_GCM\,data:aFfSylWuLR6q66mNZjy5S1A0JlvSv/XPmozUQz8q73Rn42OpVz9r4XKJUmfLS++RiTssw2WoCAgeDbMIlvUYVw0nkETv7gO1/46AEph0sfVpYT/xgJP7L9CEb7+LoQiM/FCJzQWeJ5I3bwKzlcaC78XwtPcKNfoRE1EUdV07hng=\,iv:XAHlOqT1QB7qNMMP9N81ih9eLB5Sb4CmE9FRk/nmMGM=\,tag:xUWUIn3HMaWL8ujCoiLvhw==\,type:str\] 	transcripts/095-sops-resaved.txt
096	sops	resaved	resaved	compiler	local-files	ok	ok	-	match	check_digest dc9d3943a077a81ce23deb3729df174864652ef44fba02441940b9f8f4a40ecd sget compiler resaved 	transcripts/096-sops-resaved.txt
097	sops	inject	removed	operator	local-files	ok	ok	-	match	rm -- <repo>/fixtures/.state/data/rc-sops/secrets/removed.enc.json 	transcripts/097-sops-inject.txt
098	sops	removed	removed	metadata	local-files	unknown	unknown	absent: no such file	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/removed.enc.json ENC\[AES256_GCM\,data:jFxq+l2smwmL4ZNGChgFwFEifjh3tluaWVWDqY1oDa2hzGf6p6awRN23J7kpSVpWMcM6IjDNVodrAomxnD7EAUzY6ddkiwHZmNOVir3WdPon50MkwNt9N4MECKNIyf0DLVDbRzSJPYDgRL6GCwL0wu0pOXVmXOnddEWvhoNy4n4=\,iv:TkBD8AK08oG2OqbKbMLGHzrdPowYJYO4d1mUz1/0Jbk=\,tag:7VbB0pUis3A4yAuC2Pyzlw==\,type:str\] 	transcripts/098-sops-removed.txt
099	sops	inject	denied	operator	local-files	ok	ok	-	match	chmod 000 <repo>/fixtures/.state/data/rc-sops/secrets/denied.enc.json 	transcripts/099-sops-inject.txt
100	sops	denied	denied	metadata	local-files	unknown	unknown	denied: file not readable	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/denied.enc.json ENC\[AES256_GCM\,data:OmDp2g52k1oVDKspRILCsvsqmdbwwM40qsJnXtjIn96uXJxcwKGm4vAoFQgC5ufC6rQzf4wULcjfYfU1YF4pOfcL96Vz2advYMLH1KFNdf4iCq76NtEtvEvE/yS7iKMieYDZKZRGVEfqMiWrSFdOx7B+pU8MEqxPNHj1f1WiBaE=\,iv:QqEQzalakIgd2h25AKIEtGyo4LJfl3rlb4iGzQTLpHE=\,tag:WL3y6ZXAyBNxRjs6REpL5Q==\,type:str\] 	transcripts/100-sops-denied.txt
101	sops	inject	denied	operator	local-files	ok	ok	-	match	chmod 644 <repo>/fixtures/.state/data/rc-sops/secrets/denied.enc.json 	transcripts/101-sops-inject.txt
102	sops	restored	denied	metadata	local-files	retained	retained	same MAC as when referenced (no key is checked)	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/denied.enc.json ENC\[AES256_GCM\,data:OmDp2g52k1oVDKspRILCsvsqmdbwwM40qsJnXtjIn96uXJxcwKGm4vAoFQgC5ufC6rQzf4wULcjfYfU1YF4pOfcL96Vz2advYMLH1KFNdf4iCq76NtEtvEvE/yS7iKMieYDZKZRGVEfqMiWrSFdOx7B+pU8MEqxPNHj1f1WiBaE=\,iv:QqEQzalakIgd2h25AKIEtGyo4LJfl3rlb4iGzQTLpHE=\,tag:WL3y6ZXAyBNxRjs6REpL5Q==\,type:str\] 	transcripts/102-sops-restored.txt
103	sops	inject	keyless	operator	local-files	ok	ok	-	match	rm -- <repo>/fixtures/.state/data/rc-sops/keys/gone.key 	transcripts/103-sops-inject.txt
104	sops	key-deleted	keyless	metadata	local-files	retained	retained	same MAC as when referenced (no key is checked)	match	classify sops <repo>/fixtures/.state/data/rc-sops/secrets/keyless.enc.json ENC\[AES256_GCM\,data:rfkd9GZPJnWr2QurDlq90f40r6tdR0c/BmpjCv88iQGfuCIL/byaVjkBqwY+aJ4qtEHpe3ExP1OgADe/w8twCUy90Ys0vt3TGdHv/8ZamWEM8PbLGV7CdFzM3hl8KgpShm381jkvRQJEMU9/3WRBU5BpAprlapDYMT2L5PM9szI=\,iv:sLE+ImVNm4GfSXFDEJ6UQx6dq8NsskMT2KSftPslMKE=\,tag:K1TgCko0gGd7+ZyeyMFeRg==\,type:str\] 	transcripts/104-sops-key-deleted.txt
105	sops	key-deleted	keyless	gone	local-files	fail	fail	-	match	sget gone keyless 	transcripts/105-sops-key-deleted.txt
106	sops	blocked	-	-	-	n/a	n/a	no reversible removal: sops keeps one revision per file; any history is the version control that holds the file	-	-	-
107	sops	unreachable	-	-	-	n/a	n/a	a local file has no remote end; an unreadable file is recorded as denied or absent above	-	-	-
